timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769719467.0477016,RECEIVED,83ea5edc-6165-4198-95fd-79b75a23e82a,9cee5ca0-5bd3-4750-973b-a6f0ebdf1cbd,c1,DROP,1441,p1,?,
1769719467.3110902,SENT,83ea5edc-6165-4198-95fd-79b75a23e82a,9cee5ca0-5bd3-4750-973b-a6f0ebdf1cbd,c1,DROP,1008,?,i11,
1769719467.3113782,FORWARDED,83ea5edc-6165-4198-95fd-79b75a23e82a,9cee5ca0-5bd3-4750-973b-a6f0ebdf1cbd,c1,DROP,1008,?,i11,
1769719467.6980374,RECEIVED,b1ecd333-7368-4f53-9477-35e1b6acc523,c0f668b7-7912-4414-9468-7e1368b30f37,c5,c1,2465,p2,?,
1769719467.8597589,SENT,b1ecd333-7368-4f53-9477-35e1b6acc523,c0f668b7-7912-4414-9468-7e1368b30f37,c5,c1,1776,?,i12,
1769719467.8598852,FORWARDED,b1ecd333-7368-4f53-9477-35e1b6acc523,c0f668b7-7912-4414-9468-7e1368b30f37,c5,c1,1776,?,i12,
1769719468.1315093,RECEIVED,1e753a25-a0a4-440c-90b1-c4f58d014a37,5983011c-33d6-4480-8712-e924177dad78,c2,c1,2468,p2,?,
1769719468.159233,RECEIVED,be9221a1-fc3f-4b02-a300-c3a41317ea4f,d786630a-016c-4026-b373-8d83581ad492,c1,DROP,1435,p1,?,
1769719468.1697798,RECEIVED,6fea78a6-cad7-449f-af33-4874016a9e2e,19600c5e-d544-4cc4-bc52-27e5e370c235,c4,DROP,1451,p1,?,
1769719468.4074037,RECEIVED,0f1e0858-ee30-41fa-9a10-9324b6dbdf86,8a450111-a227-46c2-81a5-bc25d5a8f6b2,c2,DROP,1450,p2,?,
1769719468.4258487,SENT,be9221a1-fc3f-4b02-a300-c3a41317ea4f,d786630a-016c-4026-b373-8d83581ad492,c1,DROP,1003,?,i4,
1769719468.4259276,FORWARDED,be9221a1-fc3f-4b02-a300-c3a41317ea4f,d786630a-016c-4026-b373-8d83581ad492,c1,DROP,1003,?,i4,
1769719468.4461207,SENT,0f1e0858-ee30-41fa-9a10-9324b6dbdf86,8a450111-a227-46c2-81a5-bc25d5a8f6b2,c2,DROP,1012,?,i10,
1769719468.4461942,FORWARDED,0f1e0858-ee30-41fa-9a10-9324b6dbdf86,8a450111-a227-46c2-81a5-bc25d5a8f6b2,c2,DROP,1012,?,i10,
1769719468.5287938,SENT,1e753a25-a0a4-440c-90b1-c4f58d014a37,5983011c-33d6-4480-8712-e924177dad78,c2,c1,1777,?,i3,
1769719468.52887,FORWARDED,1e753a25-a0a4-440c-90b1-c4f58d014a37,5983011c-33d6-4480-8712-e924177dad78,c2,c1,1777,?,i3,
1769719468.5948286,RECEIVED,79844238-7c7e-47b0-8340-111ee8279c07,1cc46d72-8866-49a5-8474-cf1771c98d84,c4,DROP,1444,p1,?,
1769719468.6408591,RECEIVED,3b401727-f88d-4f9a-81c8-5d28bcc08331,7bb76ee0-15bf-473c-bac0-f84449d08818,c1,DROP,1452,p1,?,
1769719468.6709554,RECEIVED,43a785c0-45a1-4297-acb1-13609985258e,18529e6a-594c-47fe-a4a8-b333644db071,c5,DROP,1436,p2,?,
1769719468.7569613,RECEIVED,d4027688-0e9a-4d39-aad8-2e85a802032b,518b1343-81bd-4f6a-aa92-68dc215c714b,c3,DROP,1444,p3,?,
1769719468.8371358,SENT,d4027688-0e9a-4d39-aad8-2e85a802032b,518b1343-81bd-4f6a-aa92-68dc215c714b,c3,DROP,1011,?,i1,
1769719468.8372195,FORWARDED,d4027688-0e9a-4d39-aad8-2e85a802032b,518b1343-81bd-4f6a-aa92-68dc215c714b,c3,DROP,1011,?,i1,
1769719468.8725383,RECEIVED,80b89930-736e-43c4-898a-b5cafda095f0,a3fc7d13-ef5c-46bb-83f5-96abfa70f97b,c4,DROP,1445,p1,?,
1769719468.920973,SENT,80b89930-736e-43c4-898a-b5cafda095f0,a3fc7d13-ef5c-46bb-83f5-96abfa70f97b,c4,DROP,1009,?,i4,
1769719468.9210682,FORWARDED,80b89930-736e-43c4-898a-b5cafda095f0,a3fc7d13-ef5c-46bb-83f5-96abfa70f97b,c4,DROP,1009,?,i4,
1769719468.9247417,SENT,43a785c0-45a1-4297-acb1-13609985258e,18529e6a-594c-47fe-a4a8-b333644db071,c5,DROP,1003,?,i9,
1769719468.924819,FORWARDED,43a785c0-45a1-4297-acb1-13609985258e,18529e6a-594c-47fe-a4a8-b333644db071,c5,DROP,1003,?,i9,
1769719468.9543374,SENT,3b401727-f88d-4f9a-81c8-5d28bcc08331,7bb76ee0-15bf-473c-bac0-f84449d08818,c1,DROP,1015,?,i10,
1769719468.9544222,FORWARDED,3b401727-f88d-4f9a-81c8-5d28bcc08331,7bb76ee0-15bf-473c-bac0-f84449d08818,c1,DROP,1015,?,i10,
1769719469.0211616,RECEIVED,b78636b2-ad96-4426-b480-cb977b3e8e3c,bb3ea676-a03b-4130-811e-4958037b9705,c1,DROP,1453,p1,?,
1769719469.1806622,RECEIVED,cca8442f-8e5d-4c16-9566-284c6ae60625,af98e6cd-ad86-4869-bf65-bdff5c213416,c1,None,2239,p1,?,
1769719469.2306886,SENT,b78636b2-ad96-4426-b480-cb977b3e8e3c,bb3ea676-a03b-4130-811e-4958037b9705,c1,DROP,1017,?,i11,
