timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769719697.1822705,RECEIVED,c2dd84f0-1cc7-4c47-a5ae-eda2126346d1,f6518d82-b9be-45da-97f0-8f4ad9756b5f,c3,DROP,2015,c3,?,
1769719697.2525015,RECEIVED,d934d860-6510-4b5e-83ab-500ecc62da4b,98644ebd-b5b9-4954-b1b0-a3ef537ba95d,c3,DROP,2020,c3,?,
1769719697.26317,RECEIVED,108ef8fe-b261-4d6c-8430-79cdf0bdd74a,b5a40203-39c0-43e9-a09e-b7568aa0c4c6,c3,DROP,2016,c3,?,
1769719697.2741072,RECEIVED,4906c269-e6a1-4003-be3a-6ad0b7734b31,49bb3955-e2cf-4dd5-a8e8-b76c79e42de1,c3,DROP,2017,c3,?,
1769719697.3043568,RECEIVED,60f76595-a7cc-4508-b284-e3d238ebbb4d,2e534691-4005-4fa1-8a2a-fa5e89039b8f,c3,DROP,2032,c3,?,
1769719697.332902,RECEIVED,0b2e6d80-1e86-41b2-b147-5fac20da597d,bb119c63-dd6d-49e9-87b0-981d19ace7e9,c3,DROP,2028,c3,?,
1769719697.430614,SENT,4906c269-e6a1-4003-be3a-6ad0b7734b31,49bb3955-e2cf-4dd5-a8e8-b76c79e42de1,c3,DROP,1439,?,e11,
1769719697.4307323,FORWARDED,4906c269-e6a1-4003-be3a-6ad0b7734b31,49bb3955-e2cf-4dd5-a8e8-b76c79e42de1,c3,DROP,1439,?,e11,
1769719697.4412398,SENT,d934d860-6510-4b5e-83ab-500ecc62da4b,98644ebd-b5b9-4954-b1b0-a3ef537ba95d,c3,DROP,1441,?,e6,
1769719697.441357,FORWARDED,d934d860-6510-4b5e-83ab-500ecc62da4b,98644ebd-b5b9-4954-b1b0-a3ef537ba95d,c3,DROP,1441,?,e6,
1769719697.47343,SENT,108ef8fe-b261-4d6c-8430-79cdf0bdd74a,b5a40203-39c0-43e9-a09e-b7568aa0c4c6,c3,DROP,1439,?,e6,
1769719697.4735537,FORWARDED,108ef8fe-b261-4d6c-8430-79cdf0bdd74a,b5a40203-39c0-43e9-a09e-b7568aa0c4c6,c3,DROP,1439,?,e6,
1769719697.6384118,SENT,60f76595-a7cc-4508-b284-e3d238ebbb4d,2e534691-4005-4fa1-8a2a-fa5e89039b8f,c3,DROP,1451,?,e7,
1769719697.6385286,FORWARDED,60f76595-a7cc-4508-b284-e3d238ebbb4d,2e534691-4005-4fa1-8a2a-fa5e89039b8f,c3,DROP,1451,?,e7,
1769719697.6924236,RECEIVED,daa417ff-ebc3-4b84-8ae0-117384f018ea,8a46b997-ff31-4b42-a9a4-e68152c0da87,c3,c2,3375,c3,?,
1769719697.7632837,RECEIVED,06abb30a-b6d8-4c07-a076-97d7a57bc6cf,937d1a5e-c7a4-4123-bf3d-6c62315b6ab5,c3,c2,3395,c3,?,
1769719697.8397233,SENT,0b2e6d80-1e86-41b2-b147-5fac20da597d,bb119c63-dd6d-49e9-87b0-981d19ace7e9,c3,DROP,1448,?,e10,
1769719697.8398812,FORWARDED,0b2e6d80-1e86-41b2-b147-5fac20da597d,bb119c63-dd6d-49e9-87b0-981d19ace7e9,c3,DROP,1448,?,e10,
1769719697.9444919,RECEIVED,97ce28c2-9c4c-418b-bdd0-dcc722e9523c,99720950-4408-48c3-ba5d-bf023f320a98,c3,DROP,2018,c3,?,
1769719698.0751767,SENT,c2dd84f0-1cc7-4c47-a5ae-eda2126346d1,f6518d82-b9be-45da-97f0-8f4ad9756b5f,c3,DROP,1440,?,e7,
1769719698.075286,FORWARDED,c2dd84f0-1cc7-4c47-a5ae-eda2126346d1,f6518d82-b9be-45da-97f0-8f4ad9756b5f,c3,DROP,1440,?,e7,
