timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769722143.7535577,SENT,bb52b91a-156d-4e5f-a941-500d18da574d,5c18e083-268a-4187-885a-0ee8270d4660,c2,DROP,2015,?,p2,
1769722143.7536838,CREATED,09d85b76-c32f-4a25-b0b5-ce53bc5c637a,8b2723c9-805b-48b0-8735-520e7dd7d505,c2,DROP,27,?,?,
1769722143.801462,SENT,35f354a4-25a9-4a86-8aca-2356c072fb7e,002b5a64-1f6b-481c-8cdf-befab0622873,c2,DROP,2015,?,p2,
1769722143.8016024,CREATED,b1e57a34-06f6-4c1d-b25c-3c86cb56001a,7d0d54fe-0452-4f0c-b7f0-61b9955e097b,c2,DROP,26,?,?,
1769722143.864862,SENT,6c5ca047-93f2-4224-8e78-4c6d1d1cbd5d,cb69c5b4-bdeb-49d9-9b23-343005affead,c2,c5,3360,?,p2,
1769722143.8650126,CREATED,f27ae7ad-52ad-45c5-9fc0-5ae46c1f0e2c,99af9190-d9ee-4b9f-8969-14ae0cfd7fe8,c2,c5,27,?,?,surb={'id': '1b370c8e-9be8-4540-aa83-8b3ea43ae6eb', 'route': ['p2', 'e5', 'i5', 'x9', 'p2', 'c2']}
1769722143.938703,SENT,32456718-c08d-447f-8e5b-8cab5629aec6,58043365-56b7-4658-ae38-8df932c97944,c2,DROP,2037,?,p2,
1769722143.9388537,CREATED,6ff55839-0e0c-4753-9a03-d74bd91577f3,ba63e32c-74c8-4b3f-ab93-7228eac28b2f,c2,DROP,27,?,?,
1769722143.9761224,SENT,295cc74a-a3f2-465b-9e3f-6f6d6bb5e90b,d2b2426a-1b9a-46e4-bb4b-e90637e023a2,c2,DROP,2014,?,p2,
1769722143.9762523,CREATED,8d25baff-7692-4e7c-8f55-f7173285ae83,ae31f785-b8e0-4ecb-9ee8-30941a952760,c2,DROP,27,?,?,
1769722143.9818146,SENT,9189e673-9c0a-46fa-ae82-c66c15e8f174,9df75a7a-78a9-47dc-b463-b937cd0cbd9a,c2,DROP,2015,?,p2,
1769722143.9819293,CREATED,d837afb9-70b8-4c36-b437-834b9b1efc84,94c69095-af79-4b63-ae32-b0d7c7622222,c2,DROP,27,?,?,
1769722144.0198162,SENT,aa23e2c0-6c4d-438c-b8b1-7fd842edff44,bf27eb92-736e-4b0d-b648-c8ba2c0d783a,c2,DROP,2020,?,p2,
1769722144.0199344,CREATED,ee642561-f330-4768-a063-2f32889ad8a9,d9bac1a2-cfbd-48bc-aa35-c648a6986e8a,c2,DROP,27,?,?,
1769722144.1920052,SENT,d9515a32-13b3-4fc4-b877-fa469fe1cd9b,a5edd7e2-9c55-41c8-8ac5-362c3adeba69,c2,c5,3390,?,p2,
1769722144.1921647,CREATED,92ca0357-c119-4293-b347-ac8c9cb0789d,aef18ad0-c204-4877-b185-f1ea0e6c0383,c2,c5,27,?,?,surb={'id': '523f1a27-317e-4413-ac9b-b18c02309f4b', 'route': ['p2', 'e10', 'i7', 'x11', 'p2', 'c2']}
1769722144.2169278,SENT,11275ff0-4e42-48a9-875f-eb8a6eef6e94,fe34bdb7-e0dd-4bed-8ba5-4ddd09d97ec8,c2,c5,3396,?,p2,
1769722144.2170885,CREATED,6b8958a8-ee76-45af-adfa-8f8baa433e9c,52f2cc20-d943-4e20-8fce-55e7ae5e8364,c2,c5,27,?,?,surb={'id': '3985174c-0d6f-44ba-a8ae-fce579e7be0f', 'route': ['p2', 'e5', 'i5', 'x12', 'p2', 'c2']}
1769722144.252022,SENT,cf1ab0e6-9031-4367-a0a6-3740d3dd811c,b7b62f93-6023-4346-96f7-39e7aebff438,c2,DROP,2016,?,p2,
1769722144.2521706,CREATED,5892a2c6-e426-4353-a90a-ee834123a89a,cea91a75-350d-4318-8a8e-e1eb2e0410e3,c2,DROP,27,?,?,
1769722144.2709088,SENT,8b5dabc4-9ed8-4d81-8928-818a42014f81,00744232-a02f-4f9e-bfa2-215425970f5d,c2,DROP,2017,?,p2,
1769722144.271026,CREATED,7241d05b-3a4c-4aa0-9ddf-413fb121b261,92b73d8e-dd8a-4bd1-8970-1194061da29b,c2,DROP,27,?,?,
1769722144.3161707,SENT,0f8defde-9fe7-414c-a71f-c95719e7ec76,b66e288d-d180-435e-886b-7672f917b323,c2,DROP,2020,?,p2,
1769722144.3162925,CREATED,41b7adaa-114c-4387-94f9-e8d9cb1e0e28,dec88480-71ca-4009-b42f-2b2748e0eb12,c2,DROP,26,?,?,
1769722144.490523,SENT,2339128b-1572-4379-8f19-6ab2a607fce7,5accdff5-98a3-4525-832a-fd3594a7cf79,c2,DROP,2016,?,p2,
1769722144.4906359,CREATED,6e4640ad-ddf6-4dc7-85c3-aaae95c9c61c,7fe55b9c-03c9-4540-86be-8bf4b3738bb5,c2,DROP,27,?,?,
1769722144.5102286,SENT,e021a66b-b2af-4b3b-8afd-f8f0ce90c947,6e1d2a6a-48de-4035-9eb3-3804fb4774de,c2,DROP,2016,?,p2,
1769722144.5103464,CREATED,0cf8332e-8e99-4322-836f-962061d3cd6d,6ac5481a-08ae-4f59-8655-6b067bfd205f,c2,DROP,27,?,?,
1769722144.609806,SENT,7a59b79a-eba5-4ec7-a775-e1d3fc5e32a6,aeb534e9-b22c-493a-b688-fe2d5e7c494e,c2,DROP,2017,?,p2,
1769722144.609926,CREATED,8cc11ad8-bf5c-498e-bedf-8881ca9b1140,1513041e-71b4-4652-be2f-e5d1a3fc29e5,c2,DROP,27,?,?,
1769722144.6459491,SENT,8abf0a35-f5a3-4419-9877-cd3331a8812f,c084f935-0d5e-498a-bb79-28ddc365525c,c2,DROP,2020,?,p2,
1769722144.6461225,CREATED,317ed979-fcad-44ed-9960-c52efd81c98e,b2e29259-1f1a-4af5-a9c5-52b1f89db25f,c2,DROP,27,?,?,
1769722144.7631252,SENT,51ca6fd5-eb33-43c4-8d35-388a091e2174,826f9dc0-8880-4774-a2ec-9cbfc603ab37,c2,DROP,2020,?,p2,
1769722144.763247,CREATED,be712ab3-809b-4535-8c81-0a5abe981e0b,0a9f8a60-2fdc-4c21-8e13-095cbc5bdfd8,c2,DROP,26,?,?,
1769722144.8591611,SENT,de045f29-c5b4-4949-839f-932568a6e83b,f922827d-6c14-4428-adfe-1be963581a63,c2,c5,3359,?,p2,
1769722144.8593016,CREATED,abe27a99-3dbd-4274-874f-a2bb7bfdd4f3,edcbf086-bf17-4f9c-80f7-c9ded9898c7a,c2,c5,26,?,?,surb={'id': 'd5e57260-7972-4b53-bfa7-edc001b9442f', 'route': ['p2', 'e7', 'i10', 'x6', 'p2', 'c2']}
1769722144.9052153,SENT,3b0efcf6-de24-408f-b1e4-24d9c9945958,d35b2d80-e1c4-4167-8c21-8f06965ad934,c2,DROP,2027,?,p2,
1769722144.9053226,CREATED,10107efc-50c8-4019-8864-bf555706690b,c60a4d00-cf8c-44e5-9de4-70261a19a313,c2,DROP,25,?,?,
1769722144.9515364,SENT,ca406e92-8a0d-43e7-986b-1cb0ca8e3d2d,dfafafb4-6400-4039-8edb-58cf18c4ce95,c2,DROP,2027,?,p2,
1769722144.9516518,CREATED,b96efceb-8281-4439-b0d8-d28fa25dc6fb,b19a81ac-c1ef-40c4-8359-d0cfb4ef24e4,c2,DROP,27,?,?,
1769722144.9570282,SENT,a70e4953-01db-437d-8e69-bf9136491364,7c338787-fa3a-4d2a-bbcd-f3d2d223ce31,c2,DROP,2033,?,p2,
1769722144.9571686,CREATED,323c1f7c-491e-46f5-8816-03914fe411b1,c1f0d717-5358-4989-89ff-3570f2d9ff17,c2,DROP,27,?,?,
1769722144.9906478,SENT,0b198d16-1375-4da6-81e8-80ba54491a2f,8dfe3114-1c73-4fba-a1b4-d3dee495d25b,c2,DROP,2028,?,p2,
1769722144.9907553,CREATED,02e24ee6-9789-4e8f-b212-caa109e85514,ad5d1432-9479-44b1-ae4b-c749c99476ea,c2,DROP,27,?,?,
1769722144.9993095,SENT,9a7db605-2a72-46e5-a219-ab8e34864651,54e55976-bd13-4fbd-912c-0a1e4cc78028,c2,DROP,2031,?,p2,
