timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769729489.1613677,RECEIVED,f71877fd-78f9-4e0f-ac6e-d99dedaa6606,aa55ea50-a7ff-41e5-b958-4fc071b0def7,c1,DROP,1013,e1,?,
1769729489.484732,SENT,f71877fd-78f9-4e0f-ac6e-d99dedaa6606,aa55ea50-a7ff-41e5-b958-4fc071b0def7,c1,DROP,687,?,x10,
1769729489.4848566,FORWARDED,f71877fd-78f9-4e0f-ac6e-d99dedaa6606,aa55ea50-a7ff-41e5-b958-4fc071b0def7,c1,DROP,687,?,x10,
1769729490.118691,RECEIVED,7d1c3f1f-7257-4112-98c3-92502ecbc3d6,f7126ba5-da27-45cd-8cf3-e4b8b8fb8334,c5,c1,1783,e10,?,
1769729490.3518186,RECEIVED,14633249-d92d-4fe8-a5d0-03ddda6c1981,a0f24147-2dd5-4a77-b32c-fef5e9f8d2eb,c4,DROP,1008,e1,?,
1769729490.481594,RECEIVED,6cc83df2-1d8c-4fa9-9389-d2415017258b,b8979224-f68a-480e-bb04-fff5808dfeac,c1,DROP,1013,e10,?,
1769729490.524975,SENT,14633249-d92d-4fe8-a5d0-03ddda6c1981,a0f24147-2dd5-4a77-b32c-fef5e9f8d2eb,c4,DROP,683,?,x9,
1769729490.5251014,FORWARDED,14633249-d92d-4fe8-a5d0-03ddda6c1981,a0f24147-2dd5-4a77-b32c-fef5e9f8d2eb,c4,DROP,683,?,x9,
1769729490.730322,SENT,6cc83df2-1d8c-4fa9-9389-d2415017258b,b8979224-f68a-480e-bb04-fff5808dfeac,c1,DROP,687,?,x12,
1769729490.7304072,FORWARDED,6cc83df2-1d8c-4fa9-9389-d2415017258b,b8979224-f68a-480e-bb04-fff5808dfeac,c1,DROP,687,?,x12,
1769729490.7655728,RECEIVED,bb0d6b91-a51b-47c0-a092-44badbc0d34f,429c734b-ebaf-4f14-bb98-e13414aafb1b,c3,DROP,1007,e1,?,
1769729490.8325286,RECEIVED,31283e08-7184-40af-959d-912a61babbb0,088495ad-d228-471e-9b36-af6b4347e0c4,c1,DROP,1016,e5,?,
1769729490.9339256,SENT,31283e08-7184-40af-959d-912a61babbb0,088495ad-d228-471e-9b36-af6b4347e0c4,c1,DROP,688,?,x6,
1769729490.9340067,FORWARDED,31283e08-7184-40af-959d-912a61babbb0,088495ad-d228-471e-9b36-af6b4347e0c4,c1,DROP,688,?,x6,
1769729490.9594753,RECEIVED,60ab276b-1c97-4173-9879-2e8e0800a655,4e208ca5-3a00-41cb-a6fb-9eb9e6de2d14,c5,DROP,1015,e9,?,
1769729491.1290076,SENT,bb0d6b91-a51b-47c0-a092-44badbc0d34f,429c734b-ebaf-4f14-bb98-e13414aafb1b,c3,DROP,684,?,x12,
1769729491.129166,FORWARDED,bb0d6b91-a51b-47c0-a092-44badbc0d34f,429c734b-ebaf-4f14-bb98-e13414aafb1b,c3,DROP,684,?,x12,
1769729491.1863606,RECEIVED,9d2fcc6b-80ee-4f6d-b01c-445462c75d77,a4dbe57d-7b56-41c3-a951-fb6eb979fc79,c4,DROP,1007,e8,?,
1769729491.2143521,SENT,7d1c3f1f-7257-4112-98c3-92502ecbc3d6,f7126ba5-da27-45cd-8cf3-e4b8b8fb8334,c5,c1,1264,?,x2,
1769729491.2144377,FORWARDED,7d1c3f1f-7257-4112-98c3-92502ecbc3d6,f7126ba5-da27-45cd-8cf3-e4b8b8fb8334,c5,c1,1264,?,x2,
1769729491.2526476,SENT,60ab276b-1c97-4173-9879-2e8e0800a655,4e208ca5-3a00-41cb-a6fb-9eb9e6de2d14,c5,DROP,688,?,x10,
1769729491.25273,FORWARDED,60ab276b-1c97-4173-9879-2e8e0800a655,4e208ca5-3a00-41cb-a6fb-9eb9e6de2d14,c5,DROP,688,?,x10,
1769729491.803341,RECEIVED,9910d684-082c-4987-b674-8d38ec40f75a,34846d55-4097-4ecc-b525-09246179d501,c5,DROP,1008,e3,?,
1769729491.8571563,RECEIVED,6aa1e7c4-ca69-40fd-bb79-aa9974d557b8,a34fd2c1-0e80-47e4-bfe2-c4f442b3f95b,c2,DROP,1015,e8,?,
1769729492.115582,SENT,9d2fcc6b-80ee-4f6d-b01c-445462c75d77,a4dbe57d-7b56-41c3-a951-fb6eb979fc79,c4,DROP,682,?,x2,
1769729492.1156447,FORWARDED,9d2fcc6b-80ee-4f6d-b01c-445462c75d77,a4dbe57d-7b56-41c3-a951-fb6eb979fc79,c4,DROP,682,?,x2,
1769729492.1391308,RECEIVED,73d5dfde-c186-4881-9e53-336d0d68bdba,46a46f44-a6ed-4e04-844b-1598c0a901ed,c3,DROP,1008,e3,?,
1769729492.3383858,SENT,73d5dfde-c186-4881-9e53-336d0d68bdba,46a46f44-a6ed-4e04-844b-1598c0a901ed,c3,DROP,683,?,x4,
1769729492.3384461,FORWARDED,73d5dfde-c186-4881-9e53-336d0d68bdba,46a46f44-a6ed-4e04-844b-1598c0a901ed,c3,DROP,683,?,x4,
