timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731265.008786,RECEIVED,28e2b7d5-e73e-40f9-aec4-b9b5eeebd3ae,2ae49304-c7ab-4988-8713-0c30d89ddbf1,c3,c1,1264,i9,?,
1769731265.1113758,SENT,28e2b7d5-e73e-40f9-aec4-b9b5eeebd3ae,2ae49304-c7ab-4988-8713-0c30d89ddbf1,c3,c1,875,?,p1,
1769731265.1115034,FORWARDED,28e2b7d5-e73e-40f9-aec4-b9b5eeebd3ae,2ae49304-c7ab-4988-8713-0c30d89ddbf1,c3,c1,875,?,p1,
1769731265.133426,RECEIVED,4d973fcf-b0d4-4296-aa4d-c70a312ef610,f8dcd006-1456-4a0b-9ef1-eeef46c8b9b3,c2,c1,1255,i6,?,
1769731265.7086616,SENT,4d973fcf-b0d4-4296-aa4d-c70a312ef610,f8dcd006-1456-4a0b-9ef1-eeef46c8b9b3,c2,c1,870,?,p1,
1769731265.7087774,FORWARDED,4d973fcf-b0d4-4296-aa4d-c70a312ef610,f8dcd006-1456-4a0b-9ef1-eeef46c8b9b3,c2,c1,870,?,p1,
1769731266.9479823,RECEIVED,2dddb84e-431d-4470-9b01-ec86488da72e,ead40a1a-6776-4a4f-a083-740e03f8ddb7,c3,DROP,686,i6,?,
1769731267.6162322,RECEIVED,c2d564b7-c27e-4d55-8542-639e1d7faf6f,df93caa7-5246-46af-9153-0a86138ff1f5,c2,c1,1262,i9,?,
1769731267.6468267,SENT,2dddb84e-431d-4470-9b01-ec86488da72e,ead40a1a-6776-4a4f-a083-740e03f8ddb7,c3,DROP,442,?,i2,
1769731267.6469436,FORWARDED,2dddb84e-431d-4470-9b01-ec86488da72e,ead40a1a-6776-4a4f-a083-740e03f8ddb7,c3,DROP,442,?,i2,
1769731268.2939072,SENT,c2d564b7-c27e-4d55-8542-639e1d7faf6f,df93caa7-5246-46af-9153-0a86138ff1f5,c2,c1,876,?,p1,
1769731268.294032,FORWARDED,c2d564b7-c27e-4d55-8542-639e1d7faf6f,df93caa7-5246-46af-9153-0a86138ff1f5,c2,c1,876,?,p1,
1769731268.400099,RECEIVED,f81d24f3-22f7-4fb9-867f-f8b9a60a82ab,9caba97b-935a-4995-8e25-741f64162b40,c5,c3,1263,i6,?,
1769731269.1857305,SENT,f81d24f3-22f7-4fb9-867f-f8b9a60a82ab,9caba97b-935a-4995-8e25-741f64162b40,c5,c3,875,?,p3,
1769731269.1858501,FORWARDED,f81d24f3-22f7-4fb9-867f-f8b9a60a82ab,9caba97b-935a-4995-8e25-741f64162b40,c5,c3,875,?,p3,
1769731270.0646243,RECEIVED,c4e89b73-f258-4e12-b56e-b34b7c888273,0eeaace4-5be5-42d4-8bc9-99a2bbd8442f,c2,c1,1263,i10,?,
1769731270.1642256,RECEIVED,c3216903-6518-42a9-8f84-3e41ee3fb645,0af76642-a88c-48ac-ab97-8deac26a81e0,c1,c2,1264,i3,?,
1769731270.2073574,RECEIVED,7e3b720b-01db-432d-a861-d4559b3fd6f3,62caa38e-7ee7-47f8-95c3-71753acb7a19,c1,c2,1263,i11,?,
1769731270.5297005,SENT,c3216903-6518-42a9-8f84-3e41ee3fb645,0af76642-a88c-48ac-ab97-8deac26a81e0,c1,c2,875,?,p2,
1769731270.5298223,FORWARDED,c3216903-6518-42a9-8f84-3e41ee3fb645,0af76642-a88c-48ac-ab97-8deac26a81e0,c1,c2,875,?,p2,
1769731270.9359167,RECEIVED,3d4beb17-b585-4d71-b47c-d06f11f26bf1,2bb14351-034b-40d4-a68c-dc398ce62724,c3,DROP,444,x8,?,
1769731270.9434736,RECEIVED,8a5192df-33d3-4cb9-8536-39f59d6a3290,457f18d3-49e4-480e-baaa-0f7930ee3715,c1,DROP,683,i1,?,
1769731270.9910219,RECEIVED,bc8cf3dd-ec08-4a59-a555-a190d826a2e7,4dc23955-54b6-4f10-bc55-6838f23fe5bf,c1,c2,1251,i4,?,
1769731271.0296354,RECEIVED,4f4259fc-86b9-49f5-96eb-71596edf63da,9d8eea09-8686-4afa-adc2-b121078678c8,c1,DROP,445,x12,?,
1769731271.0324295,SENT,c4e89b73-f258-4e12-b56e-b34b7c888273,0eeaace4-5be5-42d4-8bc9-99a2bbd8442f,c2,c1,875,?,p1,
1769731271.032556,FORWARDED,c4e89b73-f258-4e12-b56e-b34b7c888273,0eeaace4-5be5-42d4-8bc9-99a2bbd8442f,c2,c1,875,?,p1,
1769731271.1665692,SENT,7e3b720b-01db-432d-a861-d4559b3fd6f3,62caa38e-7ee7-47f8-95c3-71753acb7a19,c1,c2,875,?,p2,
1769731271.166706,FORWARDED,7e3b720b-01db-432d-a861-d4559b3fd6f3,62caa38e-7ee7-47f8-95c3-71753acb7a19,c1,c2,875,?,p2,
1769731271.2749717,RECEIVED,5884897b-724e-42c2-a6a6-9a43bc134aba,7ca9f06b-e972-4206-aadd-f8e221e938ff,c3,DROP,684,i6,?,
1769731271.472398,SENT,5884897b-724e-42c2-a6a6-9a43bc134aba,7ca9f06b-e972-4206-aadd-f8e221e938ff,c3,DROP,441,?,e4,
1769731271.4725294,FORWARDED,5884897b-724e-42c2-a6a6-9a43bc134aba,7ca9f06b-e972-4206-aadd-f8e221e938ff,c3,DROP,441,?,e4,
1769731271.7039716,SENT,8a5192df-33d3-4cb9-8536-39f59d6a3290,457f18d3-49e4-480e-baaa-0f7930ee3715,c1,DROP,441,?,e2,
1769731271.7041464,FORWARDED,8a5192df-33d3-4cb9-8536-39f59d6a3290,457f18d3-49e4-480e-baaa-0f7930ee3715,c1,DROP,441,?,e2,
1769731272.1180162,SENT,bc8cf3dd-ec08-4a59-a555-a190d826a2e7,4dc23955-54b6-4f10-bc55-6838f23fe5bf,c1,c2,867,?,p2,
1769731272.118327,FORWARDED,bc8cf3dd-ec08-4a59-a555-a190d826a2e7,4dc23955-54b6-4f10-bc55-6838f23fe5bf,c1,c2,867,?,p2,
1769731272.1930537,RECEIVED,dd32d4f1-4131-4156-b4b6-a3fbc09f8fbf,1a049f4d-ec6c-4424-aeba-2bbba7939c5e,c2,DROP,684,i3,?,
1769731272.3595946,RECEIVED,459f57f7-7047-47ff-a807-f0e611c44634,42b92db3-015f-41d5-99ed-1b77b7cb1d23,c1,c2,1251,i5,?,
1769731272.5692525,SENT,dd32d4f1-4131-4156-b4b6-a3fbc09f8fbf,1a049f4d-ec6c-4424-aeba-2bbba7939c5e,c2,DROP,441,?,e9,
1769731272.5693903,FORWARDED,dd32d4f1-4131-4156-b4b6-a3fbc09f8fbf,1a049f4d-ec6c-4424-aeba-2bbba7939c5e,c2,DROP,441,?,e9,
1769731272.6521735,RECEIVED,4aaf01fd-74b1-41a7-996c-f20ae1bfdb7a,080766cb-c8eb-40f6-b5c2-90bd89363090,c4,c2,1275,i11,?,
1769731272.7336216,RECEIVED,f878b937-2cce-45b5-b070-48875d6dfddd,a8bafbaf-cb9b-4628-a8b4-459e99a48428,c4,c2,1263,i5,?,
1769731272.8471146,RECEIVED,a2705bcc-60f9-420a-82b2-ca55dab2a005,e569db1a-c8da-40f4-bc78-1ab0fc9d3b1f,c1,c2,1264,i12,?,
1769731272.979907,SENT,4aaf01fd-74b1-41a7-996c-f20ae1bfdb7a,080766cb-c8eb-40f6-b5c2-90bd89363090,c4,c2,884,?,p2,
1769731272.9800222,FORWARDED,4aaf01fd-74b1-41a7-996c-f20ae1bfdb7a,080766cb-c8eb-40f6-b5c2-90bd89363090,c4,c2,884,?,p2,
1769731273.0009587,SENT,a2705bcc-60f9-420a-82b2-ca55dab2a005,e569db1a-c8da-40f4-bc78-1ab0fc9d3b1f,c1,c2,875,?,p2,
1769731273.0011368,FORWARDED,a2705bcc-60f9-420a-82b2-ca55dab2a005,e569db1a-c8da-40f4-bc78-1ab0fc9d3b1f,c1,c2,875,?,p2,
1769731273.0491118,SENT,459f57f7-7047-47ff-a807-f0e611c44634,42b92db3-015f-41d5-99ed-1b77b7cb1d23,c1,c2,867,?,p2,
1769731273.049233,FORWARDED,459f57f7-7047-47ff-a807-f0e611c44634,42b92db3-015f-41d5-99ed-1b77b7cb1d23,c1,c2,867,?,p2,
1769731273.5466425,SENT,f878b937-2cce-45b5-b070-48875d6dfddd,a8bafbaf-cb9b-4628-a8b4-459e99a48428,c4,c2,875,?,p2,
1769731273.5467625,FORWARDED,f878b937-2cce-45b5-b070-48875d6dfddd,a8bafbaf-cb9b-4628-a8b4-459e99a48428,c4,c2,875,?,p2,
1769731273.6301951,RECEIVED,6f27f316-6dc2-4060-b428-2c0bb4ee2181,cef4a73b-d89a-472b-ae4b-9c780bc38aeb,c2,c1,1260,i8,?,
1769731273.84979,SENT,6f27f316-6dc2-4060-b428-2c0bb4ee2181,cef4a73b-d89a-472b-ae4b-9c780bc38aeb,c2,c1,872,?,p1,
1769731273.849902,FORWARDED,6f27f316-6dc2-4060-b428-2c0bb4ee2181,cef4a73b-d89a-472b-ae4b-9c780bc38aeb,c2,c1,872,?,p1,
1769731276.1724963,RECEIVED,c0832420-9a85-4653-b983-60ca9e0f4314,43a4f98f-6d6c-4589-9634-7b97041bd8dd,c5,c3,1260,i6,?,
1769731276.2701294,RECEIVED,e1dba019-8a20-4aa4-9949-caca6d9799fb,53c3b60d-3c73-4dd7-b8ca-98d918e07f7c,c1,c2,1263,i5,?,
1769731276.3723664,SENT,c0832420-9a85-4653-b983-60ca9e0f4314,43a4f98f-6d6c-4589-9634-7b97041bd8dd,c5,c3,871,?,p3,
1769731276.372523,FORWARDED,c0832420-9a85-4653-b983-60ca9e0f4314,43a4f98f-6d6c-4589-9634-7b97041bd8dd,c5,c3,871,?,p3,
1769731277.0238526,SENT,e1dba019-8a20-4aa4-9949-caca6d9799fb,53c3b60d-3c73-4dd7-b8ca-98d918e07f7c,c1,c2,875,?,p2,
1769731277.0239792,FORWARDED,e1dba019-8a20-4aa4-9949-caca6d9799fb,53c3b60d-3c73-4dd7-b8ca-98d918e07f7c,c1,c2,875,?,p2,
1769731277.5175273,RECEIVED,4d23a0a4-4ca8-4eea-990a-ef671765286c,97b59c36-c156-4fbf-8156-c46f9b81262a,c2,c1,1263,i7,?,
1769731277.6898415,SENT,4d23a0a4-4ca8-4eea-990a-ef671765286c,97b59c36-c156-4fbf-8156-c46f9b81262a,c2,c1,874,?,p1,
1769731277.689967,FORWARDED,4d23a0a4-4ca8-4eea-990a-ef671765286c,97b59c36-c156-4fbf-8156-c46f9b81262a,c2,c1,874,?,p1,
1769731277.7078779,RECEIVED,9b27fa87-b982-4700-88a0-feb3dc5340cc,3c3b964c-ced6-4c35-a0b7-14434e621a65,c5,c3,1260,i3,?,
1769731277.7436848,SENT,9b27fa87-b982-4700-88a0-feb3dc5340cc,3c3b964c-ced6-4c35-a0b7-14434e621a65,c5,c3,871,?,p3,
1769731277.7437751,FORWARDED,9b27fa87-b982-4700-88a0-feb3dc5340cc,3c3b964c-ced6-4c35-a0b7-14434e621a65,c5,c3,871,?,p3,
1769731278.4007804,RECEIVED,c0a4db6f-8ec9-4055-a003-5179429f587d,3b98138d-fcda-4415-a887-295832dd3d60,c1,c2,1264,i2,?,
1769731278.5290647,SENT,c0a4db6f-8ec9-4055-a003-5179429f587d,3b98138d-fcda-4415-a887-295832dd3d60,c1,c2,875,?,p2,
1769731278.529205,FORWARDED,c0a4db6f-8ec9-4055-a003-5179429f587d,3b98138d-fcda-4415-a887-295832dd3d60,c1,c2,875,?,p2,
1769731278.5863285,RECEIVED,a42648e2-cfc3-4d30-a244-5b4305d60945,f85095c3-0c6a-4f10-aaf5-6fe4f0fe8937,c2,c1,1263,i11,?,
1769731279.1082807,SENT,a42648e2-cfc3-4d30-a244-5b4305d60945,f85095c3-0c6a-4f10-aaf5-6fe4f0fe8937,c2,c1,876,?,p1,
1769731279.1084704,FORWARDED,a42648e2-cfc3-4d30-a244-5b4305d60945,f85095c3-0c6a-4f10-aaf5-6fe4f0fe8937,c2,c1,876,?,p1,
1769731281.2616487,RECEIVED,a5bac432-bbb4-43b6-b444-88b91823e22c,64779f88-0ff4-438d-8989-8136c7f3ba22,c1,c2,1260,i3,?,
1769731281.3831196,SENT,a5bac432-bbb4-43b6-b444-88b91823e22c,64779f88-0ff4-438d-8989-8136c7f3ba22,c1,c2,871,?,p2,
1769731281.3832567,FORWARDED,a5bac432-bbb4-43b6-b444-88b91823e22c,64779f88-0ff4-438d-8989-8136c7f3ba22,c1,c2,871,?,p2,
1769731281.7482066,RECEIVED,8a3602ac-7fd4-4a38-bde9-8e7963fe987f,5c194351-d02c-41d5-a10a-b9dd670b4d0c,c3,c1,1264,i3,?,
1769731281.968858,RECEIVED,abcf85b9-ca3f-467d-90cd-7ff446cec017,19d09e39-f952-42c8-9ff5-59760f896bdf,c1,c2,1259,i9,?,
1769731282.0819747,SENT,8a3602ac-7fd4-4a38-bde9-8e7963fe987f,5c194351-d02c-41d5-a10a-b9dd670b4d0c,c3,c1,875,?,p1,
