timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769731880.3110123,RECEIVED,cbca4811-0d0e-437e-964a-6afee9fb4a75,28bcc565-3c69-49b6-8705-1721792b438e,c1,c5,2461,p1,?,
1769731880.6104083,SENT,cbca4811-0d0e-437e-964a-6afee9fb4a75,28bcc565-3c69-49b6-8705-1721792b438e,c1,c5,1772,?,i10,
1769731880.6105318,FORWARDED,cbca4811-0d0e-437e-964a-6afee9fb4a75,28bcc565-3c69-49b6-8705-1721792b438e,c1,c5,1772,?,i10,
1769731881.8330345,RECEIVED,49e48af5-dfed-43c1-b02a-6f65ac2e304b,ce6a2138-df82-4ef0-bcae-fbc7ccd1cc90,c4,c3,2459,p1,?,
1769731882.1044047,SENT,49e48af5-dfed-43c1-b02a-6f65ac2e304b,ce6a2138-df82-4ef0-bcae-fbc7ccd1cc90,c4,c3,1772,?,i2,
1769731882.104526,FORWARDED,49e48af5-dfed-43c1-b02a-6f65ac2e304b,ce6a2138-df82-4ef0-bcae-fbc7ccd1cc90,c4,c3,1772,?,i2,
1769731882.5652895,RECEIVED,cd2fa0d9-92df-4b3b-b7f6-5bb3edd87ddf,a6224e21-0a8c-4fd1-b5e5-7e0eac8f02d4,c4,DROP,1438,p1,?,
1769731882.7276344,SENT,cd2fa0d9-92df-4b3b-b7f6-5bb3edd87ddf,a6224e21-0a8c-4fd1-b5e5-7e0eac8f02d4,c4,DROP,1007,?,i3,
1769731882.7277582,FORWARDED,cd2fa0d9-92df-4b3b-b7f6-5bb3edd87ddf,a6224e21-0a8c-4fd1-b5e5-7e0eac8f02d4,c4,DROP,1007,?,i3,
1769731882.83728,RECEIVED,c68b9d74-b024-4bca-92b5-9228e217ed60,830efe92-3475-4f06-9ba9-a0e6a8623c37,c1,DROP,441,x10,?,
1769731883.345659,RECEIVED,7c416483-c26a-48cb-9f25-5dcbf13207d5,a0b8a790-c8ea-4a2e-a1d9-e2e227a0b5e0,c3,None,2236,p3,?,
1769731883.5898907,RECEIVED,dab0817c-2e28-4043-af82-41a414ea4428,a360ce17-a187-4bee-b99e-b3cf90956106,c2,DROP,446,x2,?,
1769731883.6577425,SENT,7c416483-c26a-48cb-9f25-5dcbf13207d5,a0b8a790-c8ea-4a2e-a1d9-e2e227a0b5e0,c3,None,1603,?,i3,
1769731883.6578608,FORWARDED,7c416483-c26a-48cb-9f25-5dcbf13207d5,a0b8a790-c8ea-4a2e-a1d9-e2e227a0b5e0,c3,None,1603,?,i3,
1769731883.6689677,RECEIVED,f54e9d0e-c7e6-4de0-91bf-23be616a2637,582fb8e3-f87a-4108-b32b-0999c537c903,c3,c2,2459,p3,?,
1769731884.0844753,SENT,f54e9d0e-c7e6-4de0-91bf-23be616a2637,582fb8e3-f87a-4108-b32b-0999c537c903,c3,c2,1772,?,i9,
1769731884.0846112,FORWARDED,f54e9d0e-c7e6-4de0-91bf-23be616a2637,582fb8e3-f87a-4108-b32b-0999c537c903,c3,c2,1772,?,i9,
1769731884.601194,RECEIVED,f2b1aee9-ab17-4489-959f-e87c69bf10b3,42c879b7-17a8-4dd9-8457-8bf2dea28110,c1,None,2232,p1,?,
1769731884.7952282,RECEIVED,110f6677-068a-4066-862c-4af49b921787,6e1d3133-e5a1-435e-bd2c-5d81841efd70,c5,c3,2468,p2,?,
1769731884.9041302,SENT,f2b1aee9-ab17-4489-959f-e87c69bf10b3,42c879b7-17a8-4dd9-8457-8bf2dea28110,c1,None,1600,?,i2,
1769731884.9042535,FORWARDED,f2b1aee9-ab17-4489-959f-e87c69bf10b3,42c879b7-17a8-4dd9-8457-8bf2dea28110,c1,None,1600,?,i2,
1769731885.0040016,SENT,110f6677-068a-4066-862c-4af49b921787,6e1d3133-e5a1-435e-bd2c-5d81841efd70,c5,c3,1777,?,i1,
1769731885.004155,FORWARDED,110f6677-068a-4066-862c-4af49b921787,6e1d3133-e5a1-435e-bd2c-5d81841efd70,c5,c3,1777,?,i1,
