timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769735913.901174,RECEIVED,3b31b374-3ba7-45df-a398-3aaa52e8c42d,d5816633-9aee-45c1-ae29-a0429c3ab174,c4,DROP,1446,p1,?,
1769735914.0237203,RECEIVED,4f406bd1-10f6-463a-8e12-6bbd6f3ca3c7,8fb0bfeb-99b3-4f6b-a85a-839b7d52746e,c5,DROP,1457,p2,?,
1769735914.1142814,SENT,4f406bd1-10f6-463a-8e12-6bbd6f3ca3c7,8fb0bfeb-99b3-4f6b-a85a-839b7d52746e,c5,DROP,1019,?,i12,
1769735914.114401,FORWARDED,4f406bd1-10f6-463a-8e12-6bbd6f3ca3c7,8fb0bfeb-99b3-4f6b-a85a-839b7d52746e,c5,DROP,1019,?,i12,
1769735914.4759448,SENT,3b31b374-3ba7-45df-a398-3aaa52e8c42d,d5816633-9aee-45c1-ae29-a0429c3ab174,c4,DROP,1012,?,i1,
1769735914.4760942,FORWARDED,3b31b374-3ba7-45df-a398-3aaa52e8c42d,d5816633-9aee-45c1-ae29-a0429c3ab174,c4,DROP,1012,?,i1,
1769735914.6766927,RECEIVED,06f58906-9d64-4f57-80ab-c8c6c2f6fa0f,c06662e0-2d59-43c2-888a-31fb97afcb7e,c5,DROP,1441,p2,?,
1769735914.6928256,SENT,06f58906-9d64-4f57-80ab-c8c6c2f6fa0f,c06662e0-2d59-43c2-888a-31fb97afcb7e,c5,DROP,1007,?,i4,
1769735914.6929345,FORWARDED,06f58906-9d64-4f57-80ab-c8c6c2f6fa0f,c06662e0-2d59-43c2-888a-31fb97afcb7e,c5,DROP,1007,?,i4,
1769735915.5594363,RECEIVED,c0f6d0df-1c0d-47b3-88ac-cd494eb4a914,4e7b82f4-402a-40dc-a6e9-1eb746919c0c,c5,DROP,1451,p2,?,
1769735915.651514,RECEIVED,d48c8a87-aff5-46de-a636-4af351777954,e3804c14-e60b-4456-8966-3b17b78eddc1,c5,DROP,1455,p2,?,
1769735915.6584713,RECEIVED,8b46312c-c420-4106-905b-0c58da8b97d9,333843f2-bab7-4681-b156-cdea25b2da81,c5,DROP,446,x11,?,
1769735915.6671908,RECEIVED,6dfcfd38-f8c4-4b3d-8762-3d4320706f31,27162990-4c42-4c77-aa08-c3220aaa2e02,c3,DROP,1435,p3,?,
1769735915.9758983,SENT,6dfcfd38-f8c4-4b3d-8762-3d4320706f31,27162990-4c42-4c77-aa08-c3220aaa2e02,c3,DROP,1003,?,i1,
1769735915.9759743,FORWARDED,6dfcfd38-f8c4-4b3d-8762-3d4320706f31,27162990-4c42-4c77-aa08-c3220aaa2e02,c3,DROP,1003,?,i1,
1769735915.9769893,RECEIVED,f1255afa-4ec2-4305-93c5-f1ced71c5e32,7d18b587-db95-4297-b3bc-10ad661c1e89,c5,DROP,1456,p2,?,
