timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769737764.519477,SENT,7a6beaea-a14b-49b9-a7b5-86130c0702bb,3504c3d6-7979-4e81-83ba-934ea827c668,c1,DROP,2028,?,p1,
1769737764.519603,CREATED,952c5670-7c07-416e-b104-ed9275ccb57e,7fe3f321-e46a-4d2d-8fa2-68e847f67f20,c1,DROP,27,?,?,
1769737764.534411,SENT,b8a1a304-c3d0-452d-947c-b4e5286abee7,bb1e6485-ca64-47f0-a4bf-359c13955300,c1,DROP,2023,?,p1,
1769737764.5345287,CREATED,91a9a9e1-65a6-49a1-8d69-99767a2bc9eb,ec79508c-5e9f-40e5-a4df-c5b995a2cf95,c1,DROP,25,?,?,
1769737764.8498135,SENT,dbac36e2-c568-4f04-96c0-55967fdda0ce,805d9d92-d1ea-4132-98dd-e96eaeb34dd5,c1,c2,3379,?,p1,
1769737764.8499494,CREATED,26390ab5-605f-463b-8e95-2052f71126d8,27368d2f-e1fa-4b9c-b590-e6dbc1eb358e,c1,c2,27,?,?,surb={'id': '1a062161-b089-42e4-b80b-46c76d087dc5', 'route': ['p2', 'e11', 'i5', 'x12', 'p1', 'c1']}
1769737764.8855453,SENT,5bce3e37-6fd8-49bc-9daf-999f2a0ef361,0f3967d8-b5a8-498f-b369-40e9901cb5f9,c1,DROP,2020,?,p1,
1769737764.8856635,CREATED,6754733a-76a1-45fc-85fe-ed553ee2a4b9,ed8a8abf-f8aa-40e9-b279-352fe30ceaf6,c1,DROP,27,?,?,
1769737764.9808385,SENT,de1953ad-0f05-45ba-9c45-b896f8ea3809,bb1e86b4-2a16-4088-9a9f-4d347070fc66,c1,DROP,2036,?,p1,
1769737764.9809444,CREATED,0964ab0e-ae0f-4c92-a1ac-316b23229361,a024b2ec-f68a-46d5-ab4b-fbef561ff923,c1,DROP,27,?,?,
1769737765.059645,SENT,c4d1e053-d991-4fba-8e1d-8f1962b73dcd,07fc4bdf-f00e-4e31-92e6-7e35b54655dd,c1,DROP,2016,?,p1,
1769737765.0597577,CREATED,217a8e66-e81b-4d8b-bc28-95954ffe9868,ae38e1bd-6341-45ba-894c-88328c445bea,c1,DROP,26,?,?,
1769737765.1382012,SENT,1b064d79-b1fa-40f8-8462-355238c109bf,3cc52f29-0201-4a64-a832-afcc2b37d3b5,c1,DROP,2031,?,p1,
