timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738050.0052898,RECEIVED,ca4b9aad-c9a1-4386-a310-2e888e22f7f3,935ff8d3-52ea-404a-891c-8acad725e256,c2,DROP,441,x9,?,
1769738050.0532627,RECEIVED,35a9f4bb-0ebd-4f27-a511-489c5c9fc05a,db30a8b7-16ee-4e97-8789-9826db5034c3,c2,c1,2464,p2,?,
1769738050.1134655,SENT,35a9f4bb-0ebd-4f27-a511-489c5c9fc05a,db30a8b7-16ee-4e97-8789-9826db5034c3,c2,c1,1776,?,i8,
1769738050.1135862,FORWARDED,35a9f4bb-0ebd-4f27-a511-489c5c9fc05a,db30a8b7-16ee-4e97-8789-9826db5034c3,c2,c1,1776,?,i8,
1769738050.194637,RECEIVED,1ae2a5cf-b933-4d33-b3fe-d34d7fb6a323,7ce43558-d889-4471-8354-c3ccec5e9686,c4,c1,2472,p1,?,
1769738050.2391267,RECEIVED,c42d4663-7655-490e-bbfb-7447b251ff0f,41f3c7d0-0bbf-42ea-960b-19481af2e45c,c1,DROP,442,x10,?,
1769738050.4826996,RECEIVED,f64ecf10-76f8-42c0-8eb8-37657e0f3c8e,be3d987d-8edd-4de9-b702-168f0db39c52,c2,DROP,1442,p2,?,
1769738050.5079634,RECEIVED,291f7333-8e38-437f-8b6b-960e169b6d83,ab70c872-2a8a-4dce-9b3c-1ba271129c94,c5,DROP,1449,p2,?,
1769738050.5634859,RECEIVED,7d8abf13-f709-4088-843a-34b4ad0b1137,5d08a7c5-2dfe-4584-9fa7-59dc7a651eb3,c4,DROP,442,x1,?,
1769738050.5755417,SENT,f64ecf10-76f8-42c0-8eb8-37657e0f3c8e,be3d987d-8edd-4de9-b702-168f0db39c52,c2,DROP,1007,?,i5,
1769738050.5756629,FORWARDED,f64ecf10-76f8-42c0-8eb8-37657e0f3c8e,be3d987d-8edd-4de9-b702-168f0db39c52,c2,DROP,1007,?,i5,
1769738050.7000158,SENT,291f7333-8e38-437f-8b6b-960e169b6d83,ab70c872-2a8a-4dce-9b3c-1ba271129c94,c5,DROP,1012,?,i10,
1769738050.700172,FORWARDED,291f7333-8e38-437f-8b6b-960e169b6d83,ab70c872-2a8a-4dce-9b3c-1ba271129c94,c5,DROP,1012,?,i10,
1769738050.9393015,RECEIVED,9e0cac5d-94a0-48f1-9e0c-f07662f1b89a,2cf08300-95ae-4eb4-b085-c863e2ec309b,c1,DROP,1438,p1,?,
1769738050.9549024,RECEIVED,13c7a86d-d282-49a6-8e80-020da7f2ff85,6ce89e9f-2f85-41c6-af5a-dff388eebe16,c5,c3,2455,p2,?,
1769738051.116132,SENT,13c7a86d-d282-49a6-8e80-020da7f2ff85,6ce89e9f-2f85-41c6-af5a-dff388eebe16,c5,c3,1768,?,i6,
1769738051.116254,FORWARDED,13c7a86d-d282-49a6-8e80-020da7f2ff85,6ce89e9f-2f85-41c6-af5a-dff388eebe16,c5,c3,1768,?,i6,
1769738051.2931097,RECEIVED,4f5bd58d-aef8-4a5c-bc24-9c2051e0b151,8486448a-9802-490c-82db-e040f6639c3f,c4,c1,2447,p1,?,
1769738051.8091388,SENT,1ae2a5cf-b933-4d33-b3fe-d34d7fb6a323,7ce43558-d889-4471-8354-c3ccec5e9686,c4,c1,1780,?,i12,
1769738051.8092387,FORWARDED,1ae2a5cf-b933-4d33-b3fe-d34d7fb6a323,7ce43558-d889-4471-8354-c3ccec5e9686,c4,c1,1780,?,i12,
1769738051.9265277,SENT,4f5bd58d-aef8-4a5c-bc24-9c2051e0b151,8486448a-9802-490c-82db-e040f6639c3f,c4,c1,1763,?,i10,
1769738051.9266453,FORWARDED,4f5bd58d-aef8-4a5c-bc24-9c2051e0b151,8486448a-9802-490c-82db-e040f6639c3f,c4,c1,1763,?,i10,
1769738051.9855156,RECEIVED,d4243a0c-befe-4a74-95fb-b99e4ec7bde2,9a9f52ac-ebf8-4da6-af11-918769a1fb81,c5,c3,2461,p2,?,
1769738052.0274107,SENT,d4243a0c-befe-4a74-95fb-b99e4ec7bde2,9a9f52ac-ebf8-4da6-af11-918769a1fb81,c5,c3,1771,?,i6,
1769738052.0275424,FORWARDED,d4243a0c-befe-4a74-95fb-b99e4ec7bde2,9a9f52ac-ebf8-4da6-af11-918769a1fb81,c5,c3,1771,?,i6,
1769738052.032439,SENT,9e0cac5d-94a0-48f1-9e0c-f07662f1b89a,2cf08300-95ae-4eb4-b085-c863e2ec309b,c1,DROP,1008,?,i9,
1769738052.032557,FORWARDED,9e0cac5d-94a0-48f1-9e0c-f07662f1b89a,2cf08300-95ae-4eb4-b085-c863e2ec309b,c1,DROP,1008,?,i9,
1769738052.308629,RECEIVED,81a76df3-a6f3-42e7-a826-2a4eb16e143d,b64394b7-e2fd-4937-8c39-a49a2823f7ed,c1,c2,2452,p1,?,
1769738052.7183814,RECEIVED,fb5780dd-a0ad-4f03-8bc4-f86a47c8b31c,01c4975e-a9bd-4ad7-98aa-53b2cbecead2,c3,c4,2473,p3,?,
1769738052.825596,SENT,fb5780dd-a0ad-4f03-8bc4-f86a47c8b31c,01c4975e-a9bd-4ad7-98aa-53b2cbecead2,c3,c4,1780,?,i2,
1769738052.8257186,FORWARDED,fb5780dd-a0ad-4f03-8bc4-f86a47c8b31c,01c4975e-a9bd-4ad7-98aa-53b2cbecead2,c3,c4,1780,?,i2,
1769738053.1519234,SENT,81a76df3-a6f3-42e7-a826-2a4eb16e143d,b64394b7-e2fd-4937-8c39-a49a2823f7ed,c1,c2,1766,?,i10,
1769738053.1520698,FORWARDED,81a76df3-a6f3-42e7-a826-2a4eb16e143d,b64394b7-e2fd-4937-8c39-a49a2823f7ed,c1,c2,1766,?,i10,
1769738053.8441715,RECEIVED,fea3e29f-c911-4ff2-a977-8aa11c3675bb,da5bafd7-20bb-425b-b551-02130fc6c4a1,c3,c4,2448,p3,?,
1769738054.024772,RECEIVED,a2c040f3-b6d8-4ad3-9229-e12f29c4e5b6,ad006b40-24a1-42b6-9fa2-9a6d791a3db2,c5,DROP,1440,p2,?,
1769738054.0529816,SENT,fea3e29f-c911-4ff2-a977-8aa11c3675bb,da5bafd7-20bb-425b-b551-02130fc6c4a1,c3,c4,1764,?,i6,
1769738054.0531502,FORWARDED,fea3e29f-c911-4ff2-a977-8aa11c3675bb,da5bafd7-20bb-425b-b551-02130fc6c4a1,c3,c4,1764,?,i6,
1769738054.0787249,SENT,a2c040f3-b6d8-4ad3-9229-e12f29c4e5b6,ad006b40-24a1-42b6-9fa2-9a6d791a3db2,c5,DROP,1007,?,i9,
1769738054.0788505,FORWARDED,a2c040f3-b6d8-4ad3-9229-e12f29c4e5b6,ad006b40-24a1-42b6-9fa2-9a6d791a3db2,c5,DROP,1007,?,i9,
1769738054.5302012,RECEIVED,4ba3c1ce-c1db-4d1b-b1e7-8e7319a4220d,92f8ff4e-f62a-417d-b289-049a58beb345,c3,c4,2477,p3,?,
1769738054.6489303,SENT,4ba3c1ce-c1db-4d1b-b1e7-8e7319a4220d,92f8ff4e-f62a-417d-b289-049a58beb345,c3,c4,1784,?,i10,
1769738054.6490707,FORWARDED,4ba3c1ce-c1db-4d1b-b1e7-8e7319a4220d,92f8ff4e-f62a-417d-b289-049a58beb345,c3,c4,1784,?,i10,
1769738054.9865265,RECEIVED,59abebac-0393-4043-80c8-fe5ef28fbc13,6b924107-aea2-4e15-a835-843d6b8f7eeb,c4,c1,2475,p1,?,
1769738055.0715618,SENT,59abebac-0393-4043-80c8-fe5ef28fbc13,6b924107-aea2-4e15-a835-843d6b8f7eeb,c4,c1,1783,?,i2,
1769738055.0717044,FORWARDED,59abebac-0393-4043-80c8-fe5ef28fbc13,6b924107-aea2-4e15-a835-843d6b8f7eeb,c4,c1,1783,?,i2,
1769738055.125229,RECEIVED,175f8c09-8460-4ab1-8b46-cfb7202fb32c,96768529-f0f7-45f6-9157-0f360deed724,c1,c2,2447,p1,?,
1769738055.2026649,RECEIVED,bab30833-047a-4d33-bfe6-5d310b7012b8,34ddfb2f-4bd9-4300-91d9-7b1a8ccd6ce3,c1,c2,2463,p1,?,
1769738055.440756,SENT,175f8c09-8460-4ab1-8b46-cfb7202fb32c,96768529-f0f7-45f6-9157-0f360deed724,c1,c2,1763,?,i1,
1769738055.440886,FORWARDED,175f8c09-8460-4ab1-8b46-cfb7202fb32c,96768529-f0f7-45f6-9157-0f360deed724,c1,c2,1763,?,i1,
1769738055.6192384,SENT,bab30833-047a-4d33-bfe6-5d310b7012b8,34ddfb2f-4bd9-4300-91d9-7b1a8ccd6ce3,c1,c2,1776,?,i1,
1769738055.6193569,FORWARDED,bab30833-047a-4d33-bfe6-5d310b7012b8,34ddfb2f-4bd9-4300-91d9-7b1a8ccd6ce3,c1,c2,1776,?,i1,
1769738057.8305247,RECEIVED,95de4b82-c85a-400a-8839-7256aaa0c691,8e77f9c1-6e5b-4317-bb0a-0a1b5d6a84f7,c4,c1,2454,p1,?,
1769738057.8379645,SENT,95de4b82-c85a-400a-8839-7256aaa0c691,8e77f9c1-6e5b-4317-bb0a-0a1b5d6a84f7,c4,c1,1767,?,i6,
1769738057.8381808,FORWARDED,95de4b82-c85a-400a-8839-7256aaa0c691,8e77f9c1-6e5b-4317-bb0a-0a1b5d6a84f7,c4,c1,1767,?,i6,
1769738058.1277843,RECEIVED,389780af-7835-4005-b534-d1575e23b695,2acc32ca-1d7d-4642-89dd-bfd3ff8a9f8e,c4,c1,2472,p1,?,
1769738059.2577622,RECEIVED,86909423-8ecd-441e-a199-8883484c5091,97f566e2-cf99-4527-814e-6498c1785a21,c2,c1,2465,p2,?,
1769738059.2851262,SENT,389780af-7835-4005-b534-d1575e23b695,2acc32ca-1d7d-4642-89dd-bfd3ff8a9f8e,c4,c1,1780,?,i12,
1769738059.2852452,FORWARDED,389780af-7835-4005-b534-d1575e23b695,2acc32ca-1d7d-4642-89dd-bfd3ff8a9f8e,c4,c1,1780,?,i12,
1769738059.438549,SENT,86909423-8ecd-441e-a199-8883484c5091,97f566e2-cf99-4527-814e-6498c1785a21,c2,c1,1776,?,i12,
1769738059.4388669,FORWARDED,86909423-8ecd-441e-a199-8883484c5091,97f566e2-cf99-4527-814e-6498c1785a21,c2,c1,1776,?,i12,
1769738059.831418,RECEIVED,b6c318ed-ae43-4f87-8d05-ee6c1ac7f3fd,14c7169a-0da1-430e-ab50-56a51a4fe0fe,c3,c4,2446,p3,?,
1769738059.9498186,RECEIVED,883a4741-6f59-48a6-8dcd-485b716ec727,62147107-ee50-43b0-87b3-0b8ae76e20c5,c4,c1,2447,p1,?,
1769738060.3592193,SENT,883a4741-6f59-48a6-8dcd-485b716ec727,62147107-ee50-43b0-87b3-0b8ae76e20c5,c4,c1,1763,?,i8,
1769738060.359336,FORWARDED,883a4741-6f59-48a6-8dcd-485b716ec727,62147107-ee50-43b0-87b3-0b8ae76e20c5,c4,c1,1763,?,i8,
1769738060.6333702,SENT,b6c318ed-ae43-4f87-8d05-ee6c1ac7f3fd,14c7169a-0da1-430e-ab50-56a51a4fe0fe,c3,c4,1763,?,i3,
1769738060.633489,FORWARDED,b6c318ed-ae43-4f87-8d05-ee6c1ac7f3fd,14c7169a-0da1-430e-ab50-56a51a4fe0fe,c3,c4,1763,?,i3,
1769738060.8781383,RECEIVED,c579817f-e025-4cd8-b99b-8c02acb2c30e,cdb4df97-f286-4e5b-9f10-38f1bcf4f006,c4,c1,2459,p1,?,
1769738061.1634724,SENT,c579817f-e025-4cd8-b99b-8c02acb2c30e,cdb4df97-f286-4e5b-9f10-38f1bcf4f006,c4,c1,1772,?,i8,
1769738061.1636028,FORWARDED,c579817f-e025-4cd8-b99b-8c02acb2c30e,cdb4df97-f286-4e5b-9f10-38f1bcf4f006,c4,c1,1772,?,i8,
1769738061.8348138,RECEIVED,8e71a73a-64bb-40cd-9f65-4364fa1f96e1,7bf0564a-98f8-4d50-b1dd-4fc955df51d8,c2,DROP,1439,p2,?,
1769738062.2637165,RECEIVED,31c6563d-40dc-4271-b090-fc2de80dd2d1,228e2186-4d67-40e9-acc6-4618d24ed25e,c5,c3,2477,p2,?,
1769738062.3301651,SENT,31c6563d-40dc-4271-b090-fc2de80dd2d1,228e2186-4d67-40e9-acc6-4618d24ed25e,c5,c3,1784,?,i11,
1769738062.3302844,FORWARDED,31c6563d-40dc-4271-b090-fc2de80dd2d1,228e2186-4d67-40e9-acc6-4618d24ed25e,c5,c3,1784,?,i11,
1769738062.335701,SENT,8e71a73a-64bb-40cd-9f65-4364fa1f96e1,7bf0564a-98f8-4d50-b1dd-4fc955df51d8,c2,DROP,1007,?,i8,
1769738062.3358254,FORWARDED,8e71a73a-64bb-40cd-9f65-4364fa1f96e1,7bf0564a-98f8-4d50-b1dd-4fc955df51d8,c2,DROP,1007,?,i8,
1769738062.8743668,RECEIVED,598354ee-7a16-45e8-93fb-571ed016e478,9ff140ef-70b6-4ad6-aa87-5a083864a722,c1,c2,2471,p1,?,
1769738063.5307999,RECEIVED,4bc1b9b8-a5e5-438f-9734-f4fbe5b12aca,52af8f85-8956-43ab-b294-8a5b397f0e32,c2,DROP,1452,p2,?,
1769738063.5783162,RECEIVED,6d7812f4-6f8d-48f1-a9c3-7cee46ff08cd,b3fcfeee-e3f6-4551-8423-84fa271bb793,c4,c1,2472,p1,?,
1769738063.587807,SENT,4bc1b9b8-a5e5-438f-9734-f4fbe5b12aca,52af8f85-8956-43ab-b294-8a5b397f0e32,c2,DROP,1016,?,i1,
1769738063.5879376,FORWARDED,4bc1b9b8-a5e5-438f-9734-f4fbe5b12aca,52af8f85-8956-43ab-b294-8a5b397f0e32,c2,DROP,1016,?,i1,
1769738063.6716733,SENT,598354ee-7a16-45e8-93fb-571ed016e478,9ff140ef-70b6-4ad6-aa87-5a083864a722,c1,c2,1780,?,i9,
1769738063.6718125,FORWARDED,598354ee-7a16-45e8-93fb-571ed016e478,9ff140ef-70b6-4ad6-aa87-5a083864a722,c1,c2,1780,?,i9,
1769738063.6959536,SENT,6d7812f4-6f8d-48f1-a9c3-7cee46ff08cd,b3fcfeee-e3f6-4551-8423-84fa271bb793,c4,c1,1781,?,i9,
1769738063.6961277,FORWARDED,6d7812f4-6f8d-48f1-a9c3-7cee46ff08cd,b3fcfeee-e3f6-4551-8423-84fa271bb793,c4,c1,1781,?,i9,
1769738063.9677215,RECEIVED,703a4b12-3f91-4bcb-8bd4-2cae71945cde,f37ad165-515a-43ea-8125-44f9839c5a17,c5,c3,2467,p2,?,
1769738063.976243,SENT,703a4b12-3f91-4bcb-8bd4-2cae71945cde,f37ad165-515a-43ea-8125-44f9839c5a17,c5,c3,1776,?,i5,
1769738063.976375,FORWARDED,703a4b12-3f91-4bcb-8bd4-2cae71945cde,f37ad165-515a-43ea-8125-44f9839c5a17,c5,c3,1776,?,i5,
1769738064.7694855,RECEIVED,1d5aedaf-b61c-4b7e-849a-e106f65a1494,eaac0e78-ca08-4106-83a4-e9b57b9105ab,c3,c4,2451,p3,?,
1769738065.3163471,SENT,1d5aedaf-b61c-4b7e-849a-e106f65a1494,eaac0e78-ca08-4106-83a4-e9b57b9105ab,c3,c4,1767,?,i3,
