timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769738999.0112603,RECEIVED,84784337-52b9-48b8-832b-6c55086600a5,f875d66f-2105-4d67-8de1-df207244b9cb,c3,c1,2447,p3,?,
1769738999.1172433,RECEIVED,5e8be464-a0fb-40e6-acf1-0744dd9a8ed3,ba082e54-f2fa-4e8d-80f0-c293f6e23a39,c2,c1,2468,p2,?,
1769738999.1762137,RECEIVED,f74faea9-d713-4fdb-b01d-364c67858a57,0220be4c-2bc2-42eb-afdd-9de7f990f1ac,c2,DROP,1452,p2,?,
1769738999.3071434,RECEIVED,b5a81dd3-42dd-4133-aebb-7803b69e6bb9,8d9607b5-5e33-4a16-a70d-96ba88498a02,c4,c1,2472,p1,?,
1769738999.3328216,SENT,f74faea9-d713-4fdb-b01d-364c67858a57,0220be4c-2bc2-42eb-afdd-9de7f990f1ac,c2,DROP,1015,?,i4,
1769738999.3329403,FORWARDED,f74faea9-d713-4fdb-b01d-364c67858a57,0220be4c-2bc2-42eb-afdd-9de7f990f1ac,c2,DROP,1015,?,i4,
1769738999.6441152,SENT,84784337-52b9-48b8-832b-6c55086600a5,f875d66f-2105-4d67-8de1-df207244b9cb,c3,c1,1764,?,i2,
1769738999.6442487,FORWARDED,84784337-52b9-48b8-832b-6c55086600a5,f875d66f-2105-4d67-8de1-df207244b9cb,c3,c1,1764,?,i2,
1769738999.6578262,SENT,5e8be464-a0fb-40e6-acf1-0744dd9a8ed3,ba082e54-f2fa-4e8d-80f0-c293f6e23a39,c2,c1,1779,?,i11,
1769738999.6579413,FORWARDED,5e8be464-a0fb-40e6-acf1-0744dd9a8ed3,ba082e54-f2fa-4e8d-80f0-c293f6e23a39,c2,c1,1779,?,i11,
1769738999.7035108,RECEIVED,5fc27062-12bb-4d12-a368-e4ffaeab943d,dd742003-35ac-418f-8cc1-8f8e50f412d0,c4,c1,2464,p1,?,
1769738999.7081976,RECEIVED,beef0390-7d88-43b0-b59e-5020ddc93172,b0c6cb30-af2d-4b27-9d65-de4fe4394ea5,c4,c1,2461,p1,?,
1769738999.7739282,SENT,beef0390-7d88-43b0-b59e-5020ddc93172,b0c6cb30-af2d-4b27-9d65-de4fe4394ea5,c4,c1,1772,?,i3,
1769738999.7740722,FORWARDED,beef0390-7d88-43b0-b59e-5020ddc93172,b0c6cb30-af2d-4b27-9d65-de4fe4394ea5,c4,c1,1772,?,i3,
1769738999.8529594,SENT,5fc27062-12bb-4d12-a368-e4ffaeab943d,dd742003-35ac-418f-8cc1-8f8e50f412d0,c4,c1,1775,?,i7,
1769738999.853089,FORWARDED,5fc27062-12bb-4d12-a368-e4ffaeab943d,dd742003-35ac-418f-8cc1-8f8e50f412d0,c4,c1,1775,?,i7,
1769738999.8759236,RECEIVED,f7ef07cf-8750-45c7-a7c7-b1fbdd001d0f,b1acb14c-56cd-46a1-a1bd-9c478f42c4e7,c5,c4,2467,p2,?,
1769738999.9547334,SENT,b5a81dd3-42dd-4133-aebb-7803b69e6bb9,8d9607b5-5e33-4a16-a70d-96ba88498a02,c4,c1,1782,?,i11,
1769738999.9548178,FORWARDED,b5a81dd3-42dd-4133-aebb-7803b69e6bb9,8d9607b5-5e33-4a16-a70d-96ba88498a02,c4,c1,1782,?,i11,
1769739000.053102,RECEIVED,ca6fc429-a155-4f70-aa9c-4fd5486b9bca,fd932f9a-352b-4849-87d7-fcf6f358de53,c4,DROP,1439,p1,?,
1769739000.1990347,RECEIVED,0462ff61-fe21-4245-8e76-df77ac47bc88,d4cb936f-40c8-40b3-9ec4-90c08cd2e34f,c3,DROP,1457,p3,?,
1769739000.2444327,SENT,f7ef07cf-8750-45c7-a7c7-b1fbdd001d0f,b1acb14c-56cd-46a1-a1bd-9c478f42c4e7,c5,c4,1779,?,i2,
1769739000.2445092,FORWARDED,f7ef07cf-8750-45c7-a7c7-b1fbdd001d0f,b1acb14c-56cd-46a1-a1bd-9c478f42c4e7,c5,c4,1779,?,i2,
