timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769740515.2288296,SENT,0219bf97-acb4-472c-a479-071bd2764643,29b3b65c-8952-4066-be99-dc24ca54dd3e,c2,DROP,2015,?,p2,
1769740515.2289574,CREATED,cd81ab44-3cc6-4115-9cf6-3a9b112e7d29,952d08ae-b741-41ec-9e4e-e72c1117d04d,c2,DROP,26,?,?,
1769740515.3363907,SENT,575ff3b0-eb93-4a2f-831a-57bcdf54fccd,9b08cd8a-790e-4ba8-9b25-37421ef87b4b,c2,c1,3379,?,p2,
1769740515.3365273,CREATED,c42854fc-2355-4a00-92bb-37a3a69dc4e9,3ad3c327-7cd3-4e31-b8f2-b233d7efd706,c2,c1,26,?,?,surb={'id': '3c9ffd41-453a-4c41-a6e1-2aa03d56f5c5', 'route': ['p1', 'e4', 'i5', 'x1', 'p2', 'c2']}
1769740515.4627016,SENT,39a260c7-1668-4a73-890e-c471b97592fd,46f8138d-b8bf-413a-a1c5-056850b160e2,c2,c1,3374,?,p2,
1769740515.4628587,CREATED,6d9e95f4-e8e4-4806-a51a-98b1bc6f8475,3ad3c327-7cd3-4e31-b8f2-b233d7efd706,c2,c1,26,?,?,surb={'id': '3c9ffd41-453a-4c41-a6e1-2aa03d56f5c5', 'route': ['p1', 'e4', 'i5', 'x1', 'p2', 'c2']}
1769740515.5387053,SENT,cda64f83-bfbe-4553-aee5-b946803ac605,b41c9e22-4897-4658-a6bc-a47efbc335fb,c2,c1,3375,?,p2,
1769740515.5388536,CREATED,ec36e544-dc80-4bee-93ac-bb631d4d5a7d,d7c23586-ce24-449f-878a-11b699c448b8,c2,c1,27,?,?,surb={'id': 'd80bf8cb-34f7-4c1c-b72b-affa719b4b8e', 'route': ['p1', 'e5', 'i2', 'x2', 'p2', 'c2']}
1769740516.7884676,SENT,8bd22a10-05a3-4df3-bfe2-35edb19aa960,1cbdcea8-0563-47c6-8277-c96aa2c4e45a,c2,c1,3380,?,p2,
1769740516.7886,CREATED,5a77fb91-826b-4896-8f8f-e77d0b6ff451,d7c23586-ce24-449f-878a-11b699c448b8,c2,c1,27,?,?,surb={'id': 'd80bf8cb-34f7-4c1c-b72b-affa719b4b8e', 'route': ['p1', 'e5', 'i2', 'x2', 'p2', 'c2']}
1769740516.8337595,SENT,c5e17774-9bec-48bc-b3cd-bfa368f44a37,0cd73370-b662-4e70-ad35-3b846f6a0256,c2,c1,3363,?,p2,
1769740516.8338928,CREATED,b84706f0-abae-4c0e-b0d6-ddfbbaf2943a,b3ef9ca5-ad34-4f9e-a518-6b1b392f6137,c2,c1,27,?,?,surb={'id': 'a75ae0e8-067b-4c60-a24a-38b84e216ca0', 'route': ['p1', 'e9', 'i2', 'x6', 'p2', 'c2']}
1769740516.8879416,SENT,be19e7b6-b1cb-4111-ab3a-556cbc5c5fce,ec2c7db9-b9f8-42f3-8c25-2d10961c8f0d,c2,c1,3384,?,p2,
1769740516.8881083,CREATED,ab81f9ca-7345-42eb-82cd-26231021dfec,b3ef9ca5-ad34-4f9e-a518-6b1b392f6137,c2,c1,27,?,?,surb={'id': 'a75ae0e8-067b-4c60-a24a-38b84e216ca0', 'route': ['p1', 'e9', 'i2', 'x6', 'p2', 'c2']}
1769740517.4654534,RECEIVED,2c489f4e-76b4-4fb5-8e33-bfafd66cb0b2,8fab3c52-fb45-4fd8-868b-1daef752d86d,c4,c2,27,p2,?,surb={'id': '0b1bd3df-e040-4759-b977-1a750e6a27af', 'route': ['p2', 'e7', 'i5', 'x9', 'p1', 'c4']}
1769740518.1653497,RECEIVED,ff07c4f6-4196-4f53-b7ae-854fe65601c9,c9a4d371-8127-4444-b1f3-0a1a3ecb2686,c3,c2,27,p2,?,surb={'id': '63da6cd9-d73d-4730-b6b8-cc1dcdb6aa9d', 'route': ['p2', 'e6', 'i6', 'x10', 'p3', 'c3']}
1769740518.4423957,RECEIVED,6d8ce56e-0032-41bc-9e6c-62c3ed99d7d1,cbad2d07-4135-4a62-ad4b-7596cdf5092a,c1,c2,27,p2,?,surb={'id': '029ff29e-11bf-4280-bd89-b5cf1e008db1', 'route': ['p2', 'e4', 'i8', 'x6', 'p1', 'c1']}
1769740518.4491513,RECEIVED,9829e62f-9381-4fa8-a1b4-b5080cced6e7,cbad2d07-4135-4a62-ad4b-7596cdf5092a,c1,c2,27,p2,?,surb={'id': '029ff29e-11bf-4280-bd89-b5cf1e008db1', 'route': ['p2', 'e4', 'i8', 'x6', 'p1', 'c1']}
1769740518.4643219,RECEIVED,1dcc93b2-f8dc-495e-9ec6-f95db6e67e73,a4f4be69-4b79-4d57-b6e4-fcaf13a943df,c5,c2,27,p2,?,surb={'id': 'f8af7a2a-2ec7-4a59-967e-e6ae95062136', 'route': ['p2', 'e2', 'i8', 'x8', 'p2', 'c5']}
1769740518.496398,RECEIVED,57dfb7a9-128b-482e-9e28-7c9108e039ad,2182d946-81ca-4a42-bf5c-e8aa60a60d09,c5,c2,27,p2,?,surb={'id': 'cbb53cad-542d-462b-8bb5-9621bb1db057', 'route': ['p2', 'e6', 'i7', 'x1', 'p2', 'c5']}
1769740518.5095956,RECEIVED,bf7c8cb4-1d5e-409a-9abf-a67c363a8f13,2d8b9a94-6d33-4d78-abf2-cd9d235fa24d,c5,c2,27,p2,?,surb={'id': '100e8de0-4fb9-448c-996a-a1b17495718f', 'route': ['p2', 'e9', 'i9', 'x12', 'p2', 'c5']}
1769740518.548085,RECEIVED,5f91f401-55f9-4778-9b93-ff64ba6bc468,8fab3c52-fb45-4fd8-868b-1daef752d86d,c4,c2,27,p2,?,surb={'id': '0b1bd3df-e040-4759-b977-1a750e6a27af', 'route': ['p2', 'e7', 'i5', 'x9', 'p1', 'c4']}
1769740518.601006,RECEIVED,321a3212-e319-4897-a21b-25cfef577ea5,eb8fce07-f18b-4573-bac7-3cbf3ac3ff73,c1,c2,27,p2,?,surb={'id': '8dc5604a-d919-4659-8f0d-8e91cb41de60', 'route': ['p2', 'e5', 'i6', 'x12', 'p1', 'c1']}
1769740518.7051952,RECEIVED,854a2360-9c7a-44a6-ade0-568257610240,76eac120-de94-4fd1-92e7-be393a828fff,c4,c2,27,p2,?,surb={'id': 'ee0998b3-a82f-4bc6-8b47-ebc48627feca', 'route': ['p2', 'e12', 'i1', 'x2', 'p1', 'c4']}
1769740518.8317015,SENT,50d32186-6842-4537-a341-485f920fe939,fcdc8643-ea03-4c76-a537-b7a3e934f5fd,c2,c1,3400,?,p2,
1769740518.8318448,CREATED,35b81b43-0cd8-4244-b414-9b4a1654f3eb,71623f6a-2dd7-4b66-ae9c-133e325bf387,c2,c1,27,?,?,surb={'id': 'c9b3c799-03a7-468d-bde1-fd062c1e5852', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c2']}
1769740518.847622,RECEIVED,5c69b49f-0717-41fd-b9ae-a853b92f2d22,f944cd47-98bf-48ba-ae8b-169b85dbde86,c3,c2,27,p2,?,surb={'id': '2e8a1fb5-5757-4784-a105-88c402381098', 'route': ['p2', 'e1', 'i6', 'x9', 'p3', 'c3']}
1769740518.8877835,SENT,c37e4c10-5c4f-4e11-8283-dc057bb1242e,53521187-ecae-4613-90a8-b24cd386b4e6,c2,c1,3395,?,p2,
1769740518.887919,CREATED,90edd07e-6dd7-4de8-a8ba-98a00155f18d,71623f6a-2dd7-4b66-ae9c-133e325bf387,c2,c1,27,?,?,surb={'id': 'c9b3c799-03a7-468d-bde1-fd062c1e5852', 'route': ['p1', 'e11', 'i6', 'x11', 'p2', 'c2']}
