timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769742366.7865252,SENT,0b5f5bc4-9bff-4437-8b46-a3b294a5ec57,e04f3b4e-1722-4afe-a37f-49d3d632ac96,c5,c3,3363,?,p2,
1769742366.7867405,CREATED,ed9a9855-321a-4bf6-9b8f-957d059cbeb0,1697894b-37fa-4e39-994b-63339a665c74,c5,c3,27,?,?,surb={'id': 'bb0183a6-7d67-499e-81a7-34ab7a4a690f', 'route': ['p3', 'e5', 'i4', 'x2', 'p2', 'c5']}
1769742366.963021,SENT,1aa097cb-618a-43c1-aada-46e4ffb312f3,5ae812e5-140a-4b43-abc2-af55b727672f,c5,c3,3401,?,p2,
1769742366.963896,CREATED,9b66175f-aa0a-4fb5-8127-b642fc4ae498,4c889a51-f785-4736-9e90-db8e8dbb6e64,c5,c3,27,?,?,surb={'id': '1739dfc6-c95b-4506-a86b-f5a214d35368', 'route': ['p3', 'e8', 'i12', 'x4', 'p2', 'c5']}
1769742367.0766144,SENT,3f031bbe-4a45-4cec-b3ce-ddd3293b0bec,79bc0018-fc60-42c3-a175-983089d17d65,c5,c3,3388,?,p2,
1769742367.0767462,CREATED,9d1e420f-2777-4430-be75-ead0297cb5a4,fef298a5-a067-426f-9cd1-da9c23de6694,c5,c3,27,?,?,surb={'id': '22ae2939-3c63-4cd5-a51b-d03bf496d3a5', 'route': ['p3', 'e1', 'i2', 'x2', 'p2', 'c5']}
1769742367.3966439,SENT,2d1fb8bd-9134-4cc2-8bd9-dbed9ebd74b4,646b0bbc-0f5f-45b3-afb7-66d3d41a003e,c5,DROP,2025,?,p2,
1769742367.396761,CREATED,c4bee2a2-5422-4f36-9247-b78e4285a17d,090dc9b9-9bc4-4ba4-8884-18d453ebe26f,c5,DROP,26,?,?,
1769742367.8263435,SENT,30fe1e7a-c26f-4a88-aaf3-a740910fc9a0,94e2e032-4ec7-42f8-ae5a-8ffc18888120,c5,c3,3392,?,p2,
1769742367.8264966,CREATED,011e489b-f772-4c66-bb69-62934ad45717,e0f6f49a-11c3-41c8-bf9a-cbeb3ad155a0,c5,c3,27,?,?,surb={'id': '5ee71ba3-96ac-4109-8992-847d61e42b29', 'route': ['p3', 'e11', 'i8', 'x11', 'p2', 'c5']}
1769742368.1510859,RECEIVED,d9fc4e17-b5e4-42b7-b6e1-b5edc447b31a,3a338ff7-be4e-4b60-8823-40fd86eb42de,c2,c5,27,p2,?,surb={'id': 'd291d53a-d80d-410f-94fc-242af4d83b1f', 'route': ['p2', 'e8', 'i11', 'x5', 'p2', 'c2']}
1769742368.2991872,RECEIVED,ff05e6c7-4f84-4db7-ba31-a14776d17ef7,f9b8ac9c-92a6-4450-90f0-de6a85e98d4c,c2,c5,27,p2,?,surb={'id': '11e0825c-379b-4f3f-af28-877f259130f7', 'route': ['p2', 'e8', 'i4', 'x6', 'p2', 'c2']}
1769742368.3396647,RECEIVED,d27b052d-5257-4e79-ad72-bd44989e1fc5,c3ce421c-fe40-47ab-8300-c365cbee1f6d,c1,c5,27,p2,?,surb={'id': '5ce93d2d-d574-4172-8a13-6f0921fa5672', 'route': ['p2', 'e3', 'i9', 'x3', 'p1', 'c1']}
1769742368.581492,SENT,ef3e79fe-40ea-4819-866a-3ef4283b36b6,65fee8dc-a301-4c8c-9125-2ed8ebcaf28e,c5,c3,3400,?,p2,
1769742368.5816438,CREATED,8df22399-8fd7-432c-bb30-487810cb9e69,479b0e3b-e13f-4dba-8d48-639eb998f8e1,c5,c3,27,?,?,surb={'id': 'a8c1f0d9-3801-4574-acc9-6623d5c3a374', 'route': ['p3', 'e5', 'i6', 'x1', 'p2', 'c5']}
1769742368.5917225,SENT,cfe6c3d3-1974-42ea-bbe7-2b4ca0e9cc70,74c50f27-203d-47ec-9d24-282dd042d3d4,c5,c3,3373,?,p2,
1769742368.5918717,CREATED,5e81edac-5878-415b-af9c-7f299f007b1f,3d021a8d-4d74-49f2-a6ed-e83f18f9ec9a,c5,c3,26,?,?,surb={'id': 'a48814d6-90f9-431e-a0ea-235756d4572a', 'route': ['p3', 'e3', 'i11', 'x3', 'p2', 'c5']}
1769742368.6531878,SENT,d7d7a745-1915-4977-8593-c2f9b8368cab,130913be-c53c-4d73-bbff-4da7a4bcc5f2,c5,c3,3395,?,p2,
1769742368.6533217,CREATED,3c07ba21-812a-4595-91c8-3e42baf3846a,d3be43c4-11b4-484b-bf79-053a7a4e429c,c5,c3,27,?,?,surb={'id': 'e36cd641-18a5-4cba-b31b-7305881b1298', 'route': ['p3', 'e5', 'i11', 'x11', 'p2', 'c5']}
