timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769744832.897138,SENT,5b2e7a2e-fc62-4c7e-ae99-0ab73acd9c79,c18eb308-6369-4634-857d-8331dc7b96a8,c4,DROP,2019,?,p1,
1769744832.8972836,CREATED,fb9f512c-47e5-433a-b379-93b1271d5cbb,75b02e8f-4f3d-48c3-801d-06e1fc032229,c4,DROP,27,?,?,
1769744833.0127437,SENT,8909fa40-3ffc-4062-9ef8-97e963d81969,c5bf443b-4fe9-492b-a0fb-082de287950a,c4,c2,3387,?,p1,
1769744833.0128834,CREATED,0d31dc56-550f-4949-af0b-3c6abb6dc233,e0d608a0-814a-462f-8265-e4b28162f26f,c4,c2,26,?,?,surb={'id': '0521fc58-6356-4ff8-8203-94cac3453537', 'route': ['p2', 'e12', 'i3', 'x1', 'p1', 'c4']}
1769744833.0747924,SENT,75c87aee-07e5-46ef-b366-2c8310cc46f7,1197ad4e-dde2-455d-bd55-6ece59f8bb16,c4,c2,3352,?,p1,
1769744833.0749292,CREATED,d6cc2ead-2ec4-41ba-b6c7-f58240f68d26,6cf931c9-53f7-410e-b22c-4898548d07b1,c4,c2,26,?,?,surb={'id': 'd8b1d298-057b-4ef0-9b6c-bbc58a19cba3', 'route': ['p2', 'e3', 'i9', 'x1', 'p1', 'c4']}
1769744833.1538482,SENT,492fda90-206c-4868-a192-d3ca994394db,de064717-274b-408c-b74f-0342abd91010,c4,c2,3387,?,p1,
1769744833.153994,CREATED,dfaf5b07-8933-48e8-b3bf-a6cc7616d337,36e393a0-e2fd-43f7-92ea-253ab9bc9fb7,c4,c2,27,?,?,surb={'id': '48bb3783-9cd8-4fe2-a08c-cee1f63db9e2', 'route': ['p2', 'e12', 'i3', 'x11', 'p1', 'c4']}
1769744833.3243554,SENT,13e9140d-3d8e-42f9-a373-53c897a3e215,e0719082-edb6-47bc-9d2a-8885541c1282,c4,DROP,2031,?,p1,
1769744833.324477,CREATED,3de322d2-e02e-48bb-b90a-0c108f1d6a3f,9f4d967e-6843-465d-839b-b0c384b80a57,c4,DROP,26,?,?,
1769744833.9979541,SENT,76e74a73-342a-4da4-82e2-9af929e7cbac,9277e706-f4d9-4f2e-8848-de90ec15f2c9,c4,c2,3383,?,p1,
1769744833.9981163,CREATED,ec87d6e9-9b02-409a-a32d-c42e9403b532,e71dec85-0621-4cf8-be60-c55a486df8f7,c4,c2,26,?,?,surb={'id': '0f832b1b-4d7b-49c0-8b01-bc523af12282', 'route': ['p2', 'e8', 'i12', 'x2', 'p1', 'c4']}
1769744834.524899,SENT,0e50496d-b30a-4500-a6d5-b5759c4c5dc1,dac5d447-5bce-4eec-8fc9-5d060eeca143,c4,c2,3379,?,p1,
1769744834.525029,CREATED,df24ba20-228f-4635-b0b7-4a1b4215b5e4,eebe7af4-fa2e-463c-9703-e9cae3bdf435,c4,c2,27,?,?,surb={'id': 'ce7b7e39-5fb7-42e5-837d-9464a7974fb6', 'route': ['p2', 'e7', 'i8', 'x4', 'p1', 'c4']}
