timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769747303.3625786,RECEIVED,d9cbebed-936c-46d9-a8a7-4d72dd75abc6,5025eefa-467b-416a-accf-b6556529aded,c4,DROP,1007,e11,?,
1769747303.5107527,RECEIVED,1bbaf339-63eb-49e6-a157-1ae65601590c,9a66c705-37ce-451d-83df-8e70d5baa565,c4,c1,1789,e7,?,
1769747303.5838175,SENT,1bbaf339-63eb-49e6-a157-1ae65601590c,9a66c705-37ce-451d-83df-8e70d5baa565,c4,c1,1267,?,x12,
1769747303.5839376,FORWARDED,1bbaf339-63eb-49e6-a157-1ae65601590c,9a66c705-37ce-451d-83df-8e70d5baa565,c4,c1,1267,?,x12,
1769747304.2774622,RECEIVED,18d4b1b0-5e42-44c9-904f-e587fc7dd1e7,f8220476-ea03-40df-92fc-719e2cb15135,c2,None,1596,e3,?,
1769747304.431238,SENT,18d4b1b0-5e42-44c9-904f-e587fc7dd1e7,f8220476-ea03-40df-92fc-719e2cb15135,c2,None,1124,?,x9,
1769747304.4313567,FORWARDED,18d4b1b0-5e42-44c9-904f-e587fc7dd1e7,f8220476-ea03-40df-92fc-719e2cb15135,c2,None,1124,?,x9,
1769747304.5463324,RECEIVED,a3f1d6e0-acc3-4808-9d76-4794cae68e17,72132ed4-9dd0-4281-a15d-34b2b72eb3ce,c3,c1,1764,e7,?,
1769747304.6999779,SENT,d9cbebed-936c-46d9-a8a7-4d72dd75abc6,5025eefa-467b-416a-accf-b6556529aded,c4,DROP,683,?,x3,
1769747304.7001643,FORWARDED,d9cbebed-936c-46d9-a8a7-4d72dd75abc6,5025eefa-467b-416a-accf-b6556529aded,c4,DROP,683,?,x3,
1769747304.8250217,SENT,a3f1d6e0-acc3-4808-9d76-4794cae68e17,72132ed4-9dd0-4281-a15d-34b2b72eb3ce,c3,c1,1251,?,x5,
1769747304.8251863,FORWARDED,a3f1d6e0-acc3-4808-9d76-4794cae68e17,72132ed4-9dd0-4281-a15d-34b2b72eb3ce,c3,c1,1251,?,x5,
1769747305.934811,RECEIVED,382940c9-3d51-4bd4-a3c8-5057ee9108d8,b57dd993-2914-46fd-9efe-b2de919aa488,c2,c1,1780,e11,?,
1769747305.9882152,RECEIVED,0fbd9530-8daa-4977-87f9-1080682f1623,195d6acd-ea24-44dd-8ec2-6fda69f3b8eb,c1,None,1595,e5,?,
1769747306.046604,SENT,0fbd9530-8daa-4977-87f9-1080682f1623,195d6acd-ea24-44dd-8ec2-6fda69f3b8eb,c1,None,1124,?,x2,
1769747306.0467243,FORWARDED,0fbd9530-8daa-4977-87f9-1080682f1623,195d6acd-ea24-44dd-8ec2-6fda69f3b8eb,c1,None,1124,?,x2,
1769747306.3907604,SENT,382940c9-3d51-4bd4-a3c8-5057ee9108d8,b57dd993-2914-46fd-9efe-b2de919aa488,c2,c1,1263,?,x11,
1769747306.390879,FORWARDED,382940c9-3d51-4bd4-a3c8-5057ee9108d8,b57dd993-2914-46fd-9efe-b2de919aa488,c2,c1,1263,?,x11,
1769747306.4341226,RECEIVED,2dddd94b-ccf5-43eb-b5b7-b117c9f45ee0,4456deb0-a5f7-4d63-8dd8-0bcd5851a8fe,c3,None,1613,e12,?,
1769747306.6804655,SENT,2dddd94b-ccf5-43eb-b5b7-b117c9f45ee0,4456deb0-a5f7-4d63-8dd8-0bcd5851a8fe,c3,None,1135,?,x11,
1769747306.6805885,FORWARDED,2dddd94b-ccf5-43eb-b5b7-b117c9f45ee0,4456deb0-a5f7-4d63-8dd8-0bcd5851a8fe,c3,None,1135,?,x11,
1769747307.0743144,RECEIVED,2a46f676-a3e2-4f17-9d49-7822b5abb3d0,963d37d1-aca0-4e26-b5dd-3b49debaad0d,c4,c1,1774,e7,?,
1769747307.5056508,SENT,2a46f676-a3e2-4f17-9d49-7822b5abb3d0,963d37d1-aca0-4e26-b5dd-3b49debaad0d,c4,c1,1259,?,x2,
1769747307.5057392,FORWARDED,2a46f676-a3e2-4f17-9d49-7822b5abb3d0,963d37d1-aca0-4e26-b5dd-3b49debaad0d,c4,c1,1259,?,x2,
1769747307.5976717,RECEIVED,f40a4f31-5db1-4ec3-b24d-14da46cc037f,9a045991-1072-4f83-924b-dbd04039aa0b,c3,None,1604,e10,?,
1769747307.6736336,SENT,f40a4f31-5db1-4ec3-b24d-14da46cc037f,9a045991-1072-4f83-924b-dbd04039aa0b,c3,None,1131,?,x4,
1769747307.6737041,FORWARDED,f40a4f31-5db1-4ec3-b24d-14da46cc037f,9a045991-1072-4f83-924b-dbd04039aa0b,c3,None,1131,?,x4,
1769747307.952936,RECEIVED,ac75ed29-8266-40a0-ac12-6506dc054e79,fc75acf8-7700-49b1-86e5-1bb0279125dc,c2,None,1599,e3,?,
1769747307.955738,RECEIVED,76185800-3a68-4edf-a9b8-a16d86ccb5ea,512f676c-fcf2-4d7e-9e83-4c5093933893,c2,c1,1763,e12,?,
1769747308.0780241,RECEIVED,f11b6562-ce2c-4138-996a-bd52b8db3b07,79e73b8d-782c-4090-9e09-9e340f60070e,c3,c1,1768,e1,?,
1769747308.2288797,SENT,f11b6562-ce2c-4138-996a-bd52b8db3b07,79e73b8d-782c-4090-9e09-9e340f60070e,c3,c1,1253,?,x11,
1769747308.2289834,FORWARDED,f11b6562-ce2c-4138-996a-bd52b8db3b07,79e73b8d-782c-4090-9e09-9e340f60070e,c3,c1,1253,?,x11,
1769747308.335147,RECEIVED,d2c7d405-992d-4b7a-a657-d23731b7e81c,267662d4-3310-4c69-8f13-808f6c7db280,c1,None,1593,e9,?,
1769747308.4769874,SENT,ac75ed29-8266-40a0-ac12-6506dc054e79,fc75acf8-7700-49b1-86e5-1bb0279125dc,c2,None,1126,?,x6,
1769747308.477092,FORWARDED,ac75ed29-8266-40a0-ac12-6506dc054e79,fc75acf8-7700-49b1-86e5-1bb0279125dc,c2,None,1126,?,x6,
1769747308.6466765,SENT,d2c7d405-992d-4b7a-a657-d23731b7e81c,267662d4-3310-4c69-8f13-808f6c7db280,c1,None,1123,?,x10,
1769747308.6472945,FORWARDED,d2c7d405-992d-4b7a-a657-d23731b7e81c,267662d4-3310-4c69-8f13-808f6c7db280,c1,None,1123,?,x10,
1769747308.7664325,SENT,76185800-3a68-4edf-a9b8-a16d86ccb5ea,512f676c-fcf2-4d7e-9e83-4c5093933893,c2,c1,1250,?,x5,
1769747308.7664967,FORWARDED,76185800-3a68-4edf-a9b8-a16d86ccb5ea,512f676c-fcf2-4d7e-9e83-4c5093933893,c2,c1,1250,?,x5,
1769747308.8273265,RECEIVED,c3bcb106-0752-4b1a-bcea-08a5197c4c05,dec09789-f5ed-4a2e-96a9-88f3feeb42d8,c3,c1,1843,e7,?,
1769747309.038622,RECEIVED,874ed89a-5e05-43c5-9d5e-d8b3999df850,8c9d6682-5579-4b64-9fcc-4e9a069c3996,c2,c1,1780,e12,?,
1769747309.1409326,SENT,874ed89a-5e05-43c5-9d5e-d8b3999df850,8c9d6682-5579-4b64-9fcc-4e9a069c3996,c2,c1,1263,?,x5,
1769747309.140994,FORWARDED,874ed89a-5e05-43c5-9d5e-d8b3999df850,8c9d6682-5579-4b64-9fcc-4e9a069c3996,c2,c1,1263,?,x5,
1769747309.5617504,RECEIVED,3b5fba82-2c25-4e2c-a7c6-1682550bda2e,27f69b03-0aa3-40e4-98e7-e8966e3d2141,c2,None,1608,e6,?,
1769747309.562572,SENT,c3bcb106-0752-4b1a-bcea-08a5197c4c05,dec09789-f5ed-4a2e-96a9-88f3feeb42d8,c3,c1,1311,?,x1,
1769747309.5626924,FORWARDED,c3bcb106-0752-4b1a-bcea-08a5197c4c05,dec09789-f5ed-4a2e-96a9-88f3feeb42d8,c3,c1,1311,?,x1,
1769747309.9821167,RECEIVED,7a6b88d2-9f64-4865-a90a-8891c1894eb8,e94b48a9-837f-4668-989e-889720bf3d6f,c1,None,1601,e6,?,
1769747310.0651422,SENT,7a6b88d2-9f64-4865-a90a-8891c1894eb8,e94b48a9-837f-4668-989e-889720bf3d6f,c1,None,1127,?,x2,
1769747310.0652137,FORWARDED,7a6b88d2-9f64-4865-a90a-8891c1894eb8,e94b48a9-837f-4668-989e-889720bf3d6f,c1,None,1127,?,x2,
1769747310.3666503,SENT,3b5fba82-2c25-4e2c-a7c6-1682550bda2e,27f69b03-0aa3-40e4-98e7-e8966e3d2141,c2,None,1132,?,x11,
