timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769757168.4683032,SENT,6817ae61-e482-4b93-be34-8f0e0834a97f,650c91ef-c268-41d0-9f52-a4749049b7d2,c1,DROP,2032,?,p1,
1769757168.4684443,CREATED,8f23be32-bbf2-472b-b53e-b87c6abffbe2,cfaee5d4-c84e-4ba5-8232-65a84945212a,c1,DROP,27,?,?,
1769757168.868984,SENT,e58d20a1-8c7e-4fd1-a7fa-a7177e67ba02,3c33ebca-0894-4ace-a427-ccb2c02e5fbb,c1,DROP,2025,?,p1,
1769757168.8691452,CREATED,c854719c-d4f2-4168-ac4e-01d9760287c4,8672311c-f4d7-4ee7-bcb6-1d9de3f4d170,c1,DROP,27,?,?,
1769757169.1384463,SENT,6f1a4810-9f98-43ac-8018-0c54c592a568,ee7670c3-9de1-4d4d-8751-a9e83359c0c3,c1,DROP,2029,?,p1,
1769757169.1385634,CREATED,6ac01ac6-917c-40de-a902-fbbd35fc024a,47fe8064-6979-4a01-9599-b1c5bcbd13e6,c1,DROP,26,?,?,
1769757169.3657863,SENT,603e774e-b387-44fb-986d-2a13d287da41,0e25398e-1c75-4de3-bf50-ba9b15c6c15b,c1,c2,3364,?,p1,
1769757169.3659177,CREATED,2e95f137-1ad5-4d8f-aec0-ea4175948b48,0613caba-cf18-4aad-acb0-64d817c321ee,c1,c2,26,?,?,surb={'id': '7512894e-3a31-4988-a23d-46cd293db491', 'route': ['p2', 'e7', 'i4', 'x6', 'p1', 'c1']}
1769757169.5384884,SENT,f32a1436-6260-4095-8aaa-1db40576fed5,df9ef74a-703b-40e3-9ffa-fb44865f842c,c1,c2,3369,?,p1,
1769757169.5386362,CREATED,426ae428-cdf3-40ed-b1b1-cf0e61e1229c,aac11d16-e6bb-4ca1-8c64-21bea8d298d8,c1,c2,27,?,?,surb={'id': '0fd028d6-1b1e-486b-8b76-b27dd9a15c1b', 'route': ['p2', 'e12', 'i6', 'x8', 'p1', 'c1']}
1769757169.633716,SENT,ec137638-38db-4eca-b494-01dbfc7826a0,93f1e708-fdeb-479f-a623-c62fd0cc74d7,c1,c2,3383,?,p1,
1769757169.633848,CREATED,4693f4f2-732c-47cd-a9ec-77dd53bac846,4b2fd907-cf3d-4805-8b08-4d9af557d4c7,c1,c2,27,?,?,surb={'id': 'bb9edc6c-c289-4c59-adfc-7dff2bfad41d', 'route': ['p2', 'e12', 'i4', 'x8', 'p1', 'c1']}
1769757169.6587675,SENT,36d98b31-9ca3-4d95-a403-5028e3b9a732,eb516420-d33e-414b-b168-9eee1fde0363,c1,DROP,2023,?,p1,
1769757169.6588814,CREATED,6de0a62c-1190-40e5-855a-b2b07b8b39c5,4622828a-2e2a-4f80-bed1-d96e1b3a199f,c1,DROP,27,?,?,
1769757169.7396047,RECEIVED,4888ddf6-68a8-44cc-ba18-1c04f11b3e6e,eb40cf0e-15d0-4b16-ace6-ff59d3d20833,c3,c1,27,p1,?,surb={'id': '20087554-1cff-4083-986e-0e6e3fb4bd8b', 'route': ['p1', 'e2', 'i4', 'x5', 'p3', 'c3']}
1769757170.1095364,RECEIVED,91a62c32-c40d-4109-b0e1-5331e6770586,484e6bb7-5d70-4b7b-9749-d3fab2ad7899,c4,c1,27,p1,?,surb={'id': '0a5b464b-859b-4d66-8805-dcadedd837d0', 'route': ['p1', 'e11', 'i12', 'x5', 'p1', 'c4']}
1769757170.5109868,SENT,d5f39813-966a-426d-9da9-41de9b3b878c,83a8ed1e-e24d-4c55-9b3d-4cc850cb3183,c1,c2,3392,?,p1,
1769757170.5111473,CREATED,40ad00ea-1df5-4449-b4be-d9ea43e92da9,cdb19242-e372-4865-b68f-15a88f7165ca,c1,c2,27,?,?,surb={'id': '226232eb-febd-4c73-bf3d-18c05c59e156', 'route': ['p2', 'e1', 'i5', 'x4', 'p1', 'c1']}
