timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769757787.1101692,RECEIVED,a063345b-899b-41e3-92f0-5f5498d6c561,3604d624-6a31-419c-b64d-1a4cdb875f2e,c4,DROP,691,i12,?,
1769757787.177032,SENT,a063345b-899b-41e3-92f0-5f5498d6c561,3604d624-6a31-419c-b64d-1a4cdb875f2e,c4,DROP,445,?,x7,
1769757787.1772704,FORWARDED,a063345b-899b-41e3-92f0-5f5498d6c561,3604d624-6a31-419c-b64d-1a4cdb875f2e,c4,DROP,445,?,x7,
1769757788.4346087,RECEIVED,1986c75d-f28a-42b3-a541-45b9ed04c303,201a622b-7f2e-4a0e-92bb-21066b5a52e5,c4,None,1136,i11,?,
1769757788.501872,RECEIVED,1c55a411-a5dd-4750-8279-32b4eca7bca5,67d20242-c2ee-4f6b-9cb1-b40a58def679,c1,c5,1252,i3,?,
1769757788.6958187,SENT,1c55a411-a5dd-4750-8279-32b4eca7bca5,67d20242-c2ee-4f6b-9cb1-b40a58def679,c1,c5,866,?,p2,
1769757788.695938,FORWARDED,1c55a411-a5dd-4750-8279-32b4eca7bca5,67d20242-c2ee-4f6b-9cb1-b40a58def679,c1,c5,866,?,p2,
1769757788.7095444,SENT,1986c75d-f28a-42b3-a541-45b9ed04c303,201a622b-7f2e-4a0e-92bb-21066b5a52e5,c4,None,779,?,p2,
1769757788.7103775,FORWARDED,1986c75d-f28a-42b3-a541-45b9ed04c303,201a622b-7f2e-4a0e-92bb-21066b5a52e5,c4,None,779,?,p2,
1769757790.9182434,RECEIVED,7a4ae13b-a811-49e9-9fd9-bcb416dc01c8,0d778470-34ee-46df-a817-520317acc978,c4,c3,1263,i11,?,
1769757791.3209105,SENT,7a4ae13b-a811-49e9-9fd9-bcb416dc01c8,0d778470-34ee-46df-a817-520317acc978,c4,c3,875,?,p3,
1769757791.3210602,FORWARDED,7a4ae13b-a811-49e9-9fd9-bcb416dc01c8,0d778470-34ee-46df-a817-520317acc978,c4,c3,875,?,p3,
1769757792.4175122,RECEIVED,66eef6fc-c0dc-4646-aebe-5d73f917dbf4,86f0127a-d483-4d39-8634-20e55321ef7f,c5,None,1136,i11,?,
1769757792.6359773,SENT,66eef6fc-c0dc-4646-aebe-5d73f917dbf4,86f0127a-d483-4d39-8634-20e55321ef7f,c5,None,779,?,p1,
1769757792.6360755,FORWARDED,66eef6fc-c0dc-4646-aebe-5d73f917dbf4,86f0127a-d483-4d39-8634-20e55321ef7f,c5,None,779,?,p1,
1769757794.4537942,RECEIVED,cccd3a4c-3c11-4cc6-bcc7-51572c946362,3f1d8028-39e0-4b9c-a06f-b95c0d2733e6,c4,c3,1315,i11,?,
1769757795.8353984,RECEIVED,c147cf06-f73b-45e0-96b0-26b4189b05e5,f3459780-9e72-42f7-9f7b-8d0ed741b38c,c2,None,1130,i3,?,
1769757795.9416113,SENT,cccd3a4c-3c11-4cc6-bcc7-51572c946362,3f1d8028-39e0-4b9c-a06f-b95c0d2733e6,c4,c3,915,?,p3,
1769757795.9416482,FORWARDED,cccd3a4c-3c11-4cc6-bcc7-51572c946362,3f1d8028-39e0-4b9c-a06f-b95c0d2733e6,c4,c3,915,?,p3,
1769757797.06855,SENT,c147cf06-f73b-45e0-96b0-26b4189b05e5,f3459780-9e72-42f7-9f7b-8d0ed741b38c,c2,None,776,?,p3,
1769757797.0686007,FORWARDED,c147cf06-f73b-45e0-96b0-26b4189b05e5,f3459780-9e72-42f7-9f7b-8d0ed741b38c,c2,None,776,?,p3,
1769757797.6017935,RECEIVED,1b5522f2-23d1-4a9d-bb75-7f6d46c194fe,d1e73025-3961-4e75-8c0a-9980407d2a9b,c2,None,1132,i8,?,
1769757797.6992161,RECEIVED,928cab21-379d-4d47-92d0-efb17a95bd02,2b1a99eb-262c-4085-bb4d-cec2e8f25d57,c5,None,1123,i9,?,
1769757797.7005076,RECEIVED,8a17b61a-424b-4fc0-a1eb-961990cf437f,5c6fe813-141c-4ef1-9874-329803da4e43,c2,None,1132,i8,?,
1769757797.8498673,SENT,1b5522f2-23d1-4a9d-bb75-7f6d46c194fe,d1e73025-3961-4e75-8c0a-9980407d2a9b,c2,None,775,?,p3,
1769757797.8499124,FORWARDED,1b5522f2-23d1-4a9d-bb75-7f6d46c194fe,d1e73025-3961-4e75-8c0a-9980407d2a9b,c2,None,775,?,p3,
1769757797.9283953,SENT,8a17b61a-424b-4fc0-a1eb-961990cf437f,5c6fe813-141c-4ef1-9874-329803da4e43,c2,None,775,?,p3,
1769757797.928437,FORWARDED,8a17b61a-424b-4fc0-a1eb-961990cf437f,5c6fe813-141c-4ef1-9874-329803da4e43,c2,None,775,?,p3,
1769757798.868911,RECEIVED,4714e3b4-8765-49c5-abc7-a36165663e2b,89e53276-5c52-4278-aaed-a14653457f37,c3,None,1132,i8,?,
1769757798.8755732,RECEIVED,0982e2af-8d57-4b5d-831f-fcd0988602a8,856caae3-3896-4552-85bd-5e495b402dee,c4,None,1131,i7,?,
1769757799.200572,SENT,4714e3b4-8765-49c5-abc7-a36165663e2b,89e53276-5c52-4278-aaed-a14653457f37,c3,None,776,?,p1,
1769757799.2006216,FORWARDED,4714e3b4-8765-49c5-abc7-a36165663e2b,89e53276-5c52-4278-aaed-a14653457f37,c3,None,776,?,p1,
1769757799.797215,SENT,0982e2af-8d57-4b5d-831f-fcd0988602a8,856caae3-3896-4552-85bd-5e495b402dee,c4,None,777,?,p2,
1769757799.7972636,FORWARDED,0982e2af-8d57-4b5d-831f-fcd0988602a8,856caae3-3896-4552-85bd-5e495b402dee,c4,None,777,?,p2,
1769757799.869957,RECEIVED,84d58473-35fc-426d-97e7-f0a11ceb667f,ad88e38a-a3c5-4477-a7ca-8981852d884f,c5,None,1132,i5,?,
