timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769759637.0569284,SENT,9ad08fba-bce8-41c4-8574-76d045082ec9,c2480388-ffa7-42bf-a570-0e5c58fb4576,c1,c5,3372,?,p1,
1769759637.057322,CREATED,d052ba66-67a0-47f1-a090-b942fcd73eb0,ef2f840b-82ea-487d-8cd8-9a840dba51e9,c1,c5,27,?,?,surb={'id': 'c5e1c41d-a960-4adf-8bab-2fe692a879d3', 'route': ['p2', 'e3', 'i5', 'x2', 'p1', 'c1']}
1769759637.3793962,SENT,3d53379c-9f01-4205-ad64-11385bd3988e,1be87ba1-43ad-449d-bda8-480409582f41,c1,DROP,2042,?,p1,
1769759637.3795137,CREATED,0644e677-ac19-4810-b74a-d5880c42142a,86b89dd9-8e97-4da4-85bb-ac15fcd23849,c1,DROP,27,?,?,
1769759637.4644856,SENT,2ef8b9c7-2f6d-4b00-a84b-5f2d0b254e68,2e108a73-bc09-474b-bed8-6b961a311023,c1,DROP,2028,?,p1,
1769759637.4646356,CREATED,08e675d7-d3c0-49f9-9792-ee49c69a4057,e62b8460-55a0-4734-ad40-8c1b0cd7a9a9,c1,DROP,26,?,?,
1769759638.2685328,SENT,84c2f508-82ef-4ab6-9c34-0f52cbaaee14,45943bcb-19c6-494c-b4cc-4486b7ef2fa4,c1,c5,3379,?,p1,
1769759638.2686787,CREATED,e6d8fff1-c1cb-4759-9911-8874b2bdb345,851d0245-bdcf-41b2-ae81-096468262000,c1,c5,27,?,?,surb={'id': 'b0e89279-703a-4efb-aad8-eda8c5a52117', 'route': ['p2', 'e2', 'i12', 'x2', 'p1', 'c1']}
1769759639.4777634,RECEIVED,76ab68e8-5c98-42d9-92ff-d19a9e13e217,547b6f0f-71b2-4000-a780-d679d6a56c5d,c5,c1,27,p1,?,surb={'id': 'e3f33a03-7d4a-450b-822f-8f14c7318751', 'route': ['p1', 'e6', 'i12', 'x1', 'p2', 'c5']}
1769759639.557306,RECEIVED,fc44f847-7d2a-4dfa-ae1d-f58b029025d4,8eba550b-4d7f-484f-90b1-5c30b9da8229,c5,c1,27,p1,?,surb={'id': '755be448-bdaf-4cf1-aa29-5a65f31b74fd', 'route': ['p1', 'e8', 'i5', 'x8', 'p2', 'c5']}
1769759639.6132796,RECEIVED,76f83f5c-7160-4a12-a4f1-eff4bbc4c174,4f3545fd-a012-4a90-89b0-913b797b4a61,c5,c1,27,p1,?,surb={'id': '80862fe8-2a0b-401b-a983-4e795c9d415d', 'route': ['p1', 'e8', 'i5', 'x2', 'p2', 'c5']}
1769759639.7299616,SENT,604a1949-9baa-41ed-9e44-4386624c6aaf,29151cd7-8732-4cd8-b5e6-0ff3132a5263,c1,c5,3387,?,p1,
1769759639.730144,CREATED,4f33c6c3-147a-49aa-a062-3e66807f8417,a055b0f9-2a38-4c79-aa2c-2feff7a890c6,c1,c5,27,?,?,surb={'id': '16f5a7dc-3931-464c-b197-4200049ee52f', 'route': ['p2', 'e2', 'i11', 'x6', 'p1', 'c1']}
1769759640.3772833,RECEIVED,922bd7b7-c4e9-48f0-96d8-25db4cc0a22e,a9148827-f3f2-42ee-9470-1c54a79ca089,c5,c1,26,p1,?,surb={'id': '38337305-eb3f-4778-9d12-4f27022e68ed', 'route': ['p1', 'e10', 'i10', 'x8', 'p2', 'c5']}
1769759640.6510098,SENT,6d5e49b6-b35e-4e8c-a36b-43546fd81557,383afbf7-e859-4341-af81-994f107a669b,c1,c5,3376,?,p1,
1769759640.6511724,CREATED,4bb46003-3051-490d-9afa-e0bf2c9d0b11,614e7988-7c5a-405d-908b-e57847d385aa,c1,c5,27,?,?,surb={'id': '9cfb6b9b-12b9-4fc7-ad62-fb7b156a0af2', 'route': ['p2', 'e6', 'i2', 'x7', 'p1', 'c1']}
1769759640.9584045,RECEIVED,53ba3f2a-e6db-4308-985a-3cfae8f45845,862f557f-4365-4ad2-8475-f81ad9b54e8e,c5,c1,27,p1,?,surb={'id': 'cca2c8b5-ed2a-4f11-97b3-9a09c692a5d8', 'route': ['p1', 'e12', 'i10', 'x12', 'p2', 'c5']}
1769759641.019876,SENT,ef3b44da-a5be-4e33-bc36-9ff38ea6ab30,2faeac40-1393-4b3e-a2f6-3d682acb1f01,c1,c5,3397,?,p1,
1769759641.0200279,CREATED,e1b6fd05-fdb3-4efe-97b6-39712e0fdf49,7cc368b4-241a-4aa2-b001-97832343e1df,c1,c5,27,?,?,surb={'id': 'c793f0e0-7c80-441c-a196-d9cb93ef0625', 'route': ['p2', 'e10', 'i12', 'x8', 'p1', 'c1']}
1769759641.0547905,SENT,de15692e-491a-4657-96ec-b652f529137a,0ff60e2c-c710-428c-be25-0ebe7cd024c5,c1,c5,3386,?,p1,
1769759641.0552466,CREATED,eedbd180-ae7d-42fc-b609-414adb81ab4f,36c1846b-1793-493b-a9a6-d03ec1ec5cd8,c1,c5,27,?,?,surb={'id': '9fbbdc1d-1b0c-416a-8677-7e55c9d291ee', 'route': ['p2', 'e8', 'i11', 'x11', 'p1', 'c1']}
1769759641.3803563,RECEIVED,8ae550de-bfbb-401b-9ce9-15a27f37af0b,bdda472e-94e9-45f3-afb5-04bc0b668bb8,c5,c1,27,p1,?,surb={'id': 'b20885de-fb6a-4fd1-ab31-bf1d16beb503', 'route': ['p1', 'e6', 'i2', 'x8', 'p2', 'c5']}
