timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760253.1130068,SENT,6cdf1e11-01c2-4dc3-af85-9bae94f03c79,dbbbd2f9-4361-4e76-92fa-6ac330bd0a99,c1,DROP,2016,?,p1,
1769760253.113177,CREATED,ac33c025-0d8c-40c6-ae5d-00d689b9ae85,63a8981b-8a58-4a62-908e-fc1938fff0b7,c1,DROP,26,?,?,
1769760253.1301105,SENT,99d8ff9a-2f90-439c-b1c1-42034aa1c5be,57fdf315-5514-4e57-a54d-66804f9d472c,c1,DROP,2023,?,p1,
1769760253.1302323,CREATED,85e38228-3424-4064-983b-f3b6609376df,a1c0bb57-3acc-4be8-9ab2-876b9447f9b4,c1,DROP,27,?,?,
1769760253.7361948,SENT,150898d2-21a8-4c63-8e45-3475c9f08043,9178b82e-54a4-4fea-9956-99138fb5bf4c,c1,c5,3380,?,p1,
1769760253.7363853,CREATED,6a8edf85-fa9d-4b11-9e51-ad9704a8b173,6c355b25-67eb-4af2-9614-d84f5a406837,c1,c5,27,?,?,surb={'id': '8e7c363d-5b07-4d1d-bf67-831a565c3b00', 'route': ['p2', 'e9', 'i11', 'x9', 'p1', 'c1']}
1769760254.3690028,RECEIVED,1d42aa48-2be2-4dbb-a694-d41be7ad6755,9c5de8ab-1672-4668-be98-bfc9ec1c257f,c3,c1,27,p1,?,surb={'id': '2cefa61c-1327-46de-8484-b2371f7a0a4d', 'route': ['p1', 'e11', 'i10', 'x3', 'p3', 'c3']}
1769760255.32108,SENT,6d3fb46a-bd8b-4e19-8078-1a351b136e7a,59d3cb52-8698-40af-8159-1fd97493879c,c1,c5,3387,?,p1,
1769760255.3213718,CREATED,fd1928d6-4355-47df-af18-8ab459b6696f,0ba11c94-93e6-448d-b563-4b3b6299e7fc,c1,c5,26,?,?,surb={'id': '6502f380-b6ea-461d-8ef1-3791477f8c15', 'route': ['p2', 'e6', 'i8', 'x11', 'p1', 'c1']}
1769760255.5634289,SENT,3abde9bc-2ca9-4ac4-a21e-89230807cafd,a73b64a9-614e-444f-989a-ee042fcb156b,c1,c5,3383,?,p1,
1769760255.563575,CREATED,f745d4c9-60c3-47d7-be06-5180b3294bd2,f2aa6dfd-fc2a-447c-bdea-3c5170e4e581,c1,c5,27,?,?,surb={'id': 'c4ae1bef-f05e-425d-a86c-b9c0c15e2927', 'route': ['p2', 'e8', 'i3', 'x7', 'p1', 'c1']}
1769760255.620792,RECEIVED,c368ae5a-ae13-4ab4-8ac9-1e547dc3357c,9f4f043b-d1b4-4fad-9817-951fed7ddabf,c3,c1,27,p1,?,surb={'id': 'cf3702a6-a1b3-458a-b3ba-51c824dc34ec', 'route': ['p1', 'e4', 'i10', 'x6', 'p3', 'c3']}
1769760255.9456248,SENT,daa233b5-0a19-4378-b5cb-f5dd4b81b409,6daa7265-9819-4ff1-aa9c-11d8a1c2faf7,c1,c5,3392,?,p1,
1769760255.9457629,CREATED,75749b47-2b54-4318-9f64-8f6d1655160c,f15798c1-b663-4737-870c-a945b8b8b055,c1,c5,27,?,?,surb={'id': '75270358-7a1f-4fe7-b8b7-d1c16da3bee2', 'route': ['p2', 'e4', 'i11', 'x12', 'p1', 'c1']}
1769760256.1621764,SENT,e2923701-5c76-4794-aa96-ec06ce540437,f3dc24da-017d-4c80-81c7-d07267492362,c1,c5,3396,?,p1,
1769760256.162341,CREATED,1d0bec18-94a2-4688-a6e9-9ac64e72996f,b457b1e1-251c-4617-b640-8fd092d03ebf,c1,c5,26,?,?,surb={'id': '708dbb6d-2595-4ae5-b881-bcf554f11f58', 'route': ['p2', 'e10', 'i11', 'x4', 'p1', 'c1']}
1769760256.468742,SENT,c7fa3276-fa17-4fa1-b0f8-0dc8d0ccd0e2,f9c0029f-58b0-4108-8a06-0ed5e6519361,c1,c5,3356,?,p1,
1769760256.4688885,CREATED,4fa02a75-d037-4db4-b45c-4c1be6432e86,796cdae5-b625-4469-9eb8-d09e96760cdd,c1,c5,27,?,?,surb={'id': 'ca2be1e4-f0e8-4a55-9265-e96a123c1b30', 'route': ['p2', 'e5', 'i12', 'x7', 'p1', 'c1']}
1769760256.6703434,RECEIVED,48be6c5f-1b5a-46d7-b6b5-e3a07a76bdc4,af79ba17-3f02-4fd6-b0c9-1304976d52c1,c4,c1,27,p1,?,surb={'id': 'f20ac3fa-c44f-4274-84ef-8eaba3d99a98', 'route': ['p1', 'e7', 'i7', 'x4', 'p1', 'c4']}
