timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760253.2656794,SENT,02936e18-c353-4be5-aa19-23e116c1886d,bcf08213-c67f-4700-a1b4-6d3e110d5eee,c5,DROP,2016,?,p2,
1769760253.2658212,CREATED,c3c9037d-22c0-405c-9ee4-72e737fccd72,ffb73257-5b6f-4237-b6d1-5f7c043d81a0,c5,DROP,27,?,?,
1769760254.7034683,SENT,1641c639-904d-46b6-a7ab-1bc7ec6e23dd,fc0f47a1-eef8-4958-bb30-9eab78b231e4,c5,c4,3376,?,p2,
1769760254.703603,CREATED,5295d3bb-34ec-4c76-af28-9893ec384e22,930a47c9-1171-4ca4-9a41-1037ca4189bc,c5,c4,27,?,?,surb={'id': '1fe5b406-95d4-450d-81ac-fcc403727cde', 'route': ['p1', 'e6', 'i11', 'x5', 'p2', 'c5']}
1769760254.8270211,SENT,bf3fc54d-c8b4-431d-9b9b-2e6bddb777af,32e4bb28-d481-4ade-b361-82ea4caf6446,c5,c4,3380,?,p2,
1769760254.827199,CREATED,ec1fbc84-f7d2-4318-98d4-836140d981e9,03d24912-3710-4c1a-b324-bc0aee3dce8f,c5,c4,27,?,?,surb={'id': '9562f729-dc23-4b17-b18d-8215fe514733', 'route': ['p1', 'e2', 'i3', 'x1', 'p2', 'c5']}
1769760254.8905146,SENT,56b0eed6-26ae-4d9b-9d66-b0de60986f01,f246dd98-27a8-4467-85a8-6b80e9fbea7c,c5,c4,3363,?,p2,
1769760254.890663,CREATED,1eeee046-f502-4aa1-aaa2-af73c33d2117,8cbb7e15-5ed1-4a6a-8893-7893540ee824,c5,c4,27,?,?,surb={'id': '022bfc51-9050-449a-a9ef-625e9a8f30fb', 'route': ['p1', 'e11', 'i1', 'x6', 'p2', 'c5']}
1769760255.725881,SENT,e4d2e575-30c9-4f15-a386-97668303ae82,46008b25-abd8-43ac-b372-5d46bf66d632,c5,c4,3376,?,p2,
1769760255.7260263,CREATED,3023e1ec-119d-45d1-8faf-ffdfd4858f4c,aeeccedd-c546-4c41-b398-7d191dbc28f7,c5,c4,27,?,?,surb={'id': 'c612b3ef-c406-4a45-8411-56e7c9508692', 'route': ['p1', 'e8', 'i4', 'x3', 'p2', 'c5']}
1769760255.9092078,SENT,e466e420-31e6-4dae-a419-3fca72e20746,c59007aa-2a5f-4dc1-9553-ce7029f34bcc,c5,c4,3367,?,p2,
1769760255.9093397,CREATED,5688242b-4658-4e47-8f96-3fe5b06947f6,b00f9e31-b924-4ba4-9bd8-5fe1d4c7e102,c5,c4,27,?,?,surb={'id': '2529e35b-75b8-463c-b257-21eccf2e20be', 'route': ['p1', 'e8', 'i6', 'x9', 'p2', 'c5']}
1769760255.94139,SENT,f42541b9-4c13-47f0-9ade-e3ffd2849272,dc58696c-8463-4dcb-89fa-340d6328bfc5,c5,c4,3360,?,p2,
1769760255.9415216,CREATED,9ad290a9-b4b0-4ae5-acf7-7e7aaff50f3c,910f6e03-d5f5-40aa-89fc-b9fd0237304b,c5,c4,27,?,?,surb={'id': '4cb43e25-f568-4de2-bca8-ff59531ebcb5', 'route': ['p1', 'e7', 'i9', 'x6', 'p2', 'c5']}
1769760256.160547,SENT,148c56e7-b1af-464b-9c4b-fe0405c473b1,a93b6dae-7138-43aa-a473-f1da7d75c474,c5,c4,3395,?,p2,
1769760256.160671,CREATED,38765490-0dfd-42d7-96dd-a3913aea9145,7e9c49b8-e6a0-4e25-9ec9-3fb6bb837767,c5,c4,27,?,?,surb={'id': '258ab809-df2d-4dfd-843f-eae45aa88251', 'route': ['p1', 'e10', 'i6', 'x8', 'p2', 'c5']}
1769760256.7158465,RECEIVED,6a8edf85-fa9d-4b11-9e51-ad9704a8b173,6c355b25-67eb-4af2-9614-d84f5a406837,c1,c5,27,p2,?,surb={'id': '8e7c363d-5b07-4d1d-bf67-831a565c3b00', 'route': ['p2', 'e9', 'i11', 'x9', 'p1', 'c1']}
1769760256.9409714,SENT,85fe52cb-1444-40ad-9720-963a2d529d48,919326e9-dbc8-48ff-afc7-fe8304740e14,c5,c4,3404,?,p2,
1769760256.9411259,CREATED,ff07966b-fb39-4afc-9514-942cf7dbff5e,b5efe47a-48ee-4968-800b-9039acea383e,c5,c4,27,?,?,surb={'id': '874af968-d18f-4945-8b6a-31a06a6c8eb7', 'route': ['p1', 'e10', 'i8', 'x11', 'p2', 'c5']}
1769760257.0001428,RECEIVED,f745d4c9-60c3-47d7-be06-5180b3294bd2,f2aa6dfd-fc2a-447c-bdea-3c5170e4e581,c1,c5,27,p2,?,surb={'id': 'c4ae1bef-f05e-425d-a86c-b9c0c15e2927', 'route': ['p2', 'e8', 'i3', 'x7', 'p1', 'c1']}
