timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769760870.0068827,SENT,660ad800-e57b-4d7d-be8d-a37ada89247e,5e043b93-68d9-4e73-af0b-bfc6ad5f26e8,c3,c1,3387,?,p3,
1769760870.0071006,CREATED,8a9b8cbf-7466-47fe-9212-8d727df16125,e56417ce-9b17-4d30-9fa7-5b1b5bb654e7,c3,c1,25,?,?,surb={'id': 'de8ae847-96ac-47d5-b659-6d3f47bbdc1e', 'route': ['p1', 'e6', 'i7', 'x4', 'p3', 'c3']}
1769760870.0519013,SENT,c9bb3d1b-e92d-4f6e-af4d-1137a772deac,16542938-37a4-47dd-b809-58fc21ebae8c,c3,DROP,2019,?,p3,
1769760870.0520194,CREATED,0277195b-f85a-4218-b61d-522b9c40598c,8429f3fa-a332-473c-b89c-a7ffb710a384,c3,DROP,27,?,?,
1769760870.4915254,SENT,23fafcd3-7e3e-42be-8d38-4af4b42f83ef,fcd347fc-23e8-4894-84a9-8c5ca1e8210e,c3,c1,3372,?,p3,
1769760870.491662,CREATED,3aa49ff1-8710-4e5c-bdd6-758413bd11d3,b9a941b4-ea47-476f-bd58-c047b5c0038a,c3,c1,26,?,?,surb={'id': 'a6a14a55-7529-4878-a314-adf83b53e2c7', 'route': ['p1', 'e9', 'i6', 'x12', 'p3', 'c3']}
1769760870.505011,SENT,fa29f2e5-fa5e-48ff-bd2a-905effb18e3f,c8a1bf60-4ddc-4613-a4a0-f993518ecb12,c3,c1,3387,?,p3,
1769760870.5051677,CREATED,b766a729-cb56-4c27-a3b1-284d490e02fd,18989544-e8c6-408e-8439-8456f6f98ab9,c3,c1,26,?,?,surb={'id': '452c10f0-b294-41d3-8e4f-e88ce42a8af0', 'route': ['p1', 'e12', 'i12', 'x7', 'p3', 'c3']}
1769760870.5569766,SENT,93cf4ecb-aac2-4793-9650-1def6587cece,85112eeb-f505-4c54-966c-3be348968106,c3,DROP,2019,?,p3,
1769760870.5571258,CREATED,16603fd7-65e9-4d40-be8e-1868fae89be2,8c4ec0b0-3536-4f7a-96c7-537df07d499d,c3,DROP,27,?,?,
1769760872.4474697,RECEIVED,34b9aa9f-e71f-4bd1-8814-f212a853a029,9d613677-4f32-4e40-822d-1a2574b9a125,c5,c3,26,p3,?,surb={'id': 'eb796b5b-ffbf-43b2-a3ec-c1517840e2f1', 'route': ['p3', 'e3', 'i1', 'x2', 'p2', 'c5']}
1769760872.950264,SENT,81bd1930-b934-45e6-9160-98d229d2951b,53cee935-995d-45f7-84eb-fa17361eeb8b,c3,c1,3360,?,p3,
