timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769762721.518182,RECEIVED,4404c4bc-c7d2-4ede-b16c-0f7767fb77d7,f18d62d5-656f-473c-a8be-23a2535a06d7,c1,c5,2463,p1,?,
1769762721.6124628,RECEIVED,9a0399c0-e03e-4dc2-aacd-992063e34149,004ea1a8-e1bf-4282-b6f3-eab2e076f4a3,c4,c5,2465,p1,?,
1769762721.6399288,SENT,9a0399c0-e03e-4dc2-aacd-992063e34149,004ea1a8-e1bf-4282-b6f3-eab2e076f4a3,c4,c5,1776,?,i4,
1769762721.6400952,FORWARDED,9a0399c0-e03e-4dc2-aacd-992063e34149,004ea1a8-e1bf-4282-b6f3-eab2e076f4a3,c4,c5,1776,?,i4,
1769762721.6832724,RECEIVED,230a2096-0f0e-46fb-a863-02423f7c6b83,2b03ce95-a799-4a79-8e6f-944dc02536ec,c5,DROP,1443,p2,?,
1769762722.2338297,SENT,4404c4bc-c7d2-4ede-b16c-0f7767fb77d7,f18d62d5-656f-473c-a8be-23a2535a06d7,c1,c5,1776,?,i3,
1769762722.233947,FORWARDED,4404c4bc-c7d2-4ede-b16c-0f7767fb77d7,f18d62d5-656f-473c-a8be-23a2535a06d7,c1,c5,1776,?,i3,
1769762722.6914306,RECEIVED,c6024af5-4aab-44fa-be03-8a95fccb8795,d47713b4-f06f-478b-857d-51a0f1c064fe,c2,c3,2460,p2,?,
1769762722.7665055,SENT,c6024af5-4aab-44fa-be03-8a95fccb8795,d47713b4-f06f-478b-857d-51a0f1c064fe,c2,c3,1771,?,i6,
1769762722.7666247,FORWARDED,c6024af5-4aab-44fa-be03-8a95fccb8795,d47713b4-f06f-478b-857d-51a0f1c064fe,c2,c3,1771,?,i6,
1769762723.0573106,SENT,230a2096-0f0e-46fb-a863-02423f7c6b83,2b03ce95-a799-4a79-8e6f-944dc02536ec,c5,DROP,1011,?,i10,
1769762723.0576887,FORWARDED,230a2096-0f0e-46fb-a863-02423f7c6b83,2b03ce95-a799-4a79-8e6f-944dc02536ec,c5,DROP,1011,?,i10,
