timestamp,event_type,packet_id,message_id,src,dst,size,prev_hop,next_hop,flags
1769776657.2811267,RECEIVED,433e2f9e-a42d-42af-b429-d52dde25033f,44b1d939-a0b1-499c-b63e-943739b2890e,c4,c2,1781,e2,?,
1769776657.5121524,RECEIVED,59552fa7-363f-488c-823e-aaef60f265c3,77a2a01e-7acd-4956-8d12-6b841e84c998,c2,DROP,1009,e1,?,
1769776657.5143554,SENT,433e2f9e-a42d-42af-b429-d52dde25033f,44b1d939-a0b1-499c-b63e-943739b2890e,c4,c2,1263,?,x10,
1769776657.514464,FORWARDED,433e2f9e-a42d-42af-b429-d52dde25033f,44b1d939-a0b1-499c-b63e-943739b2890e,c4,c2,1263,?,x10,
1769776657.5996866,SENT,59552fa7-363f-488c-823e-aaef60f265c3,77a2a01e-7acd-4956-8d12-6b841e84c998,c2,DROP,683,?,x12,
1769776657.5998027,FORWARDED,59552fa7-363f-488c-823e-aaef60f265c3,77a2a01e-7acd-4956-8d12-6b841e84c998,c2,DROP,683,?,x12,
1769776657.9048889,RECEIVED,18aa5dbb-6091-401b-89c0-a356e5a4934c,a011cc8d-2fc0-40e6-a702-7112c34a559e,c2,DROP,1019,e11,?,
1769776658.1052322,RECEIVED,dbce5e29-fb74-417a-be82-a59bcb36354c,5cbb0330-2827-4a07-818b-e68ccddeede6,c3,DROP,1007,e2,?,
1769776658.1329324,RECEIVED,2c044199-2b20-41e1-95d1-30612ee4b862,00919ba8-63ab-4397-a653-66ba5f2fe307,c5,DROP,1008,e4,?,
1769776658.3382738,SENT,2c044199-2b20-41e1-95d1-30612ee4b862,00919ba8-63ab-4397-a653-66ba5f2fe307,c5,DROP,684,?,x5,
1769776658.3383381,FORWARDED,2c044199-2b20-41e1-95d1-30612ee4b862,00919ba8-63ab-4397-a653-66ba5f2fe307,c5,DROP,684,?,x5,
1769776658.5712535,SENT,18aa5dbb-6091-401b-89c0-a356e5a4934c,a011cc8d-2fc0-40e6-a702-7112c34a559e,c2,DROP,692,?,x8,
1769776658.571316,FORWARDED,18aa5dbb-6091-401b-89c0-a356e5a4934c,a011cc8d-2fc0-40e6-a702-7112c34a559e,c2,DROP,692,?,x8,
1769776658.9043305,RECEIVED,fe0023d3-7d60-41b2-80fe-c8cfbd15c3e0,e3dd7bdc-1edc-4630-a297-8c8ab3938850,c2,c3,1772,e3,?,
1769776658.9583678,SENT,dbce5e29-fb74-417a-be82-a59bcb36354c,5cbb0330-2827-4a07-818b-e68ccddeede6,c3,DROP,683,?,x3,
1769776658.9584377,FORWARDED,dbce5e29-fb74-417a-be82-a59bcb36354c,5cbb0330-2827-4a07-818b-e68ccddeede6,c3,DROP,683,?,x3,
1769776659.043045,RECEIVED,9065fadf-b8bb-488d-9529-b2c7e6e38a3d,8ec8620d-295b-4401-90fe-1caf2c52db8b,c2,DROP,1007,e12,?,
1769776659.0999165,SENT,fe0023d3-7d60-41b2-80fe-c8cfbd15c3e0,e3dd7bdc-1edc-4630-a297-8c8ab3938850,c2,c3,1256,?,x6,
1769776659.0999918,FORWARDED,fe0023d3-7d60-41b2-80fe-c8cfbd15c3e0,e3dd7bdc-1edc-4630-a297-8c8ab3938850,c2,c3,1256,?,x6,
1769776659.11007,RECEIVED,72430e37-ae57-46d6-80da-ac39d6f5f60f,ba7a475a-64bc-47d4-a114-08e3d2958bce,c4,DROP,1016,e1,?,
1769776659.20794,SENT,72430e37-ae57-46d6-80da-ac39d6f5f60f,ba7a475a-64bc-47d4-a114-08e3d2958bce,c4,DROP,688,?,x2,
1769776659.208015,FORWARDED,72430e37-ae57-46d6-80da-ac39d6f5f60f,ba7a475a-64bc-47d4-a114-08e3d2958bce,c4,DROP,688,?,x2,
1769776659.5301898,RECEIVED,7db0abd5-c985-46e0-a796-ee943d49008e,5069beac-59bd-45e0-856b-5c0953ee87e9,c2,DROP,1008,e6,?,
1769776659.547909,RECEIVED,eb21ba34-1f83-47fc-bf1e-02ee7bf3acb6,0c8892d3-5a74-4375-a88f-c9424f9f253b,c5,c2,1771,e10,?,
1769776659.6123326,SENT,7db0abd5-c985-46e0-a796-ee943d49008e,5069beac-59bd-45e0-856b-5c0953ee87e9,c2,DROP,683,?,x5,
1769776659.612409,FORWARDED,7db0abd5-c985-46e0-a796-ee943d49008e,5069beac-59bd-45e0-856b-5c0953ee87e9,c2,DROP,683,?,x5,
1769776659.7180011,RECEIVED,9b968710-d6ca-4ba5-873a-68e7d5f0c510,50066244-5dd7-4cf0-b51b-ad7354eb1f92,c4,c2,1775,e9,?,
1769776659.742388,RECEIVED,be503c35-40e2-4e3e-b209-4bc7967e25fb,34b5c00c-e5d1-4f00-858a-e7da0c046c71,c5,c2,1768,e7,?,
1769776659.783765,SENT,9b968710-d6ca-4ba5-873a-68e7d5f0c510,50066244-5dd7-4cf0-b51b-ad7354eb1f92,c4,c2,1260,?,x9,
1769776659.7838154,FORWARDED,9b968710-d6ca-4ba5-873a-68e7d5f0c510,50066244-5dd7-4cf0-b51b-ad7354eb1f92,c4,c2,1260,?,x9,
1769776659.787258,SENT,9065fadf-b8bb-488d-9529-b2c7e6e38a3d,8ec8620d-295b-4401-90fe-1caf2c52db8b,c2,DROP,684,?,x7,
1769776659.787306,FORWARDED,9065fadf-b8bb-488d-9529-b2c7e6e38a3d,8ec8620d-295b-4401-90fe-1caf2c52db8b,c2,DROP,684,?,x7,
1769776660.047319,RECEIVED,bea18b60-1455-400d-b094-f6832f2a6400,ed05de1c-9349-4204-a030-b9557522a606,c1,DROP,1007,e1,?,
1769776660.0959718,RECEIVED,15af7991-9747-49ca-ab41-1b0075d291b4,79817245-22c5-418a-b8df-d3792385c3d1,c2,c3,1771,e2,?,
1769776660.11173,SENT,eb21ba34-1f83-47fc-bf1e-02ee7bf3acb6,0c8892d3-5a74-4375-a88f-c9424f9f253b,c5,c2,1256,?,x9,
1769776660.1117802,FORWARDED,eb21ba34-1f83-47fc-bf1e-02ee7bf3acb6,0c8892d3-5a74-4375-a88f-c9424f9f253b,c5,c2,1256,?,x9,
1769776660.1245406,RECEIVED,5f1dc98b-b4f1-46e7-8f90-57a6ea837c85,f4d16b3c-a93e-4528-8a99-c433a033e90a,c2,c3,1767,e4,?,
1769776660.1524396,RECEIVED,1bfed966-542b-4a82-be96-c0fe9f647019,f47f0eb4-e2e4-4c5a-8014-017873d26e9b,c5,DROP,1008,e6,?,
1769776660.3483617,RECEIVED,c42199ec-2a9d-4c50-b86d-39fd93eb34b1,389f97fe-3566-4da7-8bae-df2e01b7becb,c5,DROP,1009,e6,?,
1769776660.3765676,SENT,c42199ec-2a9d-4c50-b86d-39fd93eb34b1,389f97fe-3566-4da7-8bae-df2e01b7becb,c5,DROP,683,?,x6,
1769776660.3766193,FORWARDED,c42199ec-2a9d-4c50-b86d-39fd93eb34b1,389f97fe-3566-4da7-8bae-df2e01b7becb,c5,DROP,683,?,x6,
1769776660.3799639,RECEIVED,ad36c4e2-2210-4017-a7f6-6f81a895aa34,6456f13b-9e3d-46c5-9538-b5034d0a8c32,c4,DROP,1016,e3,?,
1769776660.3820705,SENT,be503c35-40e2-4e3e-b209-4bc7967e25fb,34b5c00c-e5d1-4f00-858a-e7da0c046c71,c5,c2,1252,?,x11,
1769776660.3821237,FORWARDED,be503c35-40e2-4e3e-b209-4bc7967e25fb,34b5c00c-e5d1-4f00-858a-e7da0c046c71,c5,c2,1252,?,x11,
1769776660.4009993,SENT,15af7991-9747-49ca-ab41-1b0075d291b4,79817245-22c5-418a-b8df-d3792385c3d1,c2,c3,1255,?,x9,
1769776660.4010782,FORWARDED,15af7991-9747-49ca-ab41-1b0075d291b4,79817245-22c5-418a-b8df-d3792385c3d1,c2,c3,1255,?,x9,
1769776660.4030395,RECEIVED,faf80097-e584-4249-b0a4-7c717cfe7abe,29c3bc12-93ad-4a7b-a04e-0d9703349cb7,c2,c3,1784,e10,?,
1769776660.4068077,RECEIVED,115bb189-add0-425f-b0a3-028c1c4f3226,cf04099e-b6c4-4ac0-91d4-61b780a847ae,c2,DROP,440,x1,?,
1769776660.4238083,SENT,1bfed966-542b-4a82-be96-c0fe9f647019,f47f0eb4-e2e4-4c5a-8014-017873d26e9b,c5,DROP,683,?,x11,
1769776660.4238577,FORWARDED,1bfed966-542b-4a82-be96-c0fe9f647019,f47f0eb4-e2e4-4c5a-8014-017873d26e9b,c5,DROP,683,?,x11,
1769776660.452909,RECEIVED,c562186f-e2b5-410d-ad88-97854c4b8d5f,71d3da72-4cf3-40f6-bc86-3e3e780e5cee,c4,DROP,442,x5,?,
1769776660.4983914,RECEIVED,c857cfe2-7abc-4534-9540-11362fe7b07c,6a253a5a-e1bb-4ed2-aae3-55cb0c63ac0d,c5,DROP,1016,e2,?,
1769776660.510211,SENT,ad36c4e2-2210-4017-a7f6-6f81a895aa34,6456f13b-9e3d-46c5-9538-b5034d0a8c32,c4,DROP,688,?,x8,
1769776660.5102577,FORWARDED,ad36c4e2-2210-4017-a7f6-6f81a895aa34,6456f13b-9e3d-46c5-9538-b5034d0a8c32,c4,DROP,688,?,x8,
1769776660.5217655,SENT,5f1dc98b-b4f1-46e7-8f90-57a6ea837c85,f4d16b3c-a93e-4528-8a99-c433a033e90a,c2,c3,1252,?,x7,
1769776660.5218163,FORWARDED,5f1dc98b-b4f1-46e7-8f90-57a6ea837c85,f4d16b3c-a93e-4528-8a99-c433a033e90a,c2,c3,1252,?,x7,
1769776660.609283,SENT,bea18b60-1455-400d-b094-f6832f2a6400,ed05de1c-9349-4204-a030-b9557522a606,c1,DROP,684,?,x8,
1769776660.609335,FORWARDED,bea18b60-1455-400d-b094-f6832f2a6400,ed05de1c-9349-4204-a030-b9557522a606,c1,DROP,684,?,x8,
1769776661.0535285,SENT,faf80097-e584-4249-b0a4-7c717cfe7abe,29c3bc12-93ad-4a7b-a04e-0d9703349cb7,c2,c3,1264,?,x11,
1769776661.0535765,FORWARDED,faf80097-e584-4249-b0a4-7c717cfe7abe,29c3bc12-93ad-4a7b-a04e-0d9703349cb7,c2,c3,1264,?,x11,
1769776661.0656824,SENT,c857cfe2-7abc-4534-9540-11362fe7b07c,6a253a5a-e1bb-4ed2-aae3-55cb0c63ac0d,c5,DROP,688,?,x11,
1769776661.065791,FORWARDED,c857cfe2-7abc-4534-9540-11362fe7b07c,6a253a5a-e1bb-4ed2-aae3-55cb0c63ac0d,c5,DROP,688,?,x11,
1769776661.1028132,RECEIVED,468bb6b8-313d-4e30-ae47-52fcd396e75e,f1035ea2-1ec6-4d43-9080-641efcff1789,c1,DROP,1008,e11,?,
1769776661.1532059,RECEIVED,80425256-77c1-4177-a393-9e8022499947,113315ef-138b-4129-92ba-4c46c1c43f22,c5,DROP,441,x12,?,
1769776661.2943506,RECEIVED,cf573d74-96ca-4d1d-86d6-8727fe592dd6,b7c3df8e-1e57-46c2-a47a-044457858469,c2,DROP,442,x4,?,
1769776661.385778,SENT,468bb6b8-313d-4e30-ae47-52fcd396e75e,f1035ea2-1ec6-4d43-9080-641efcff1789,c1,DROP,684,?,x9,
1769776661.3858292,FORWARDED,468bb6b8-313d-4e30-ae47-52fcd396e75e,f1035ea2-1ec6-4d43-9080-641efcff1789,c1,DROP,684,?,x9,
1769776661.3978157,RECEIVED,be5c2d16-c3a5-4cb5-ba6c-1ed92ed29bf1,21cda68d-5a14-4c41-b0c2-0fc8c1f52808,c2,DROP,1007,e1,?,
1769776661.4730735,RECEIVED,c3355f63-26a2-4180-9b6c-00641e8e6827,78dda3e7-5f25-4ec2-bd08-f0f793b7ecec,c3,DROP,441,x3,?,
1769776661.4792252,RECEIVED,ff595d24-ddc7-48a0-b3a3-cb67bd047dc4,d22bfa5c-2aac-4acc-9769-460e86a87f48,c5,DROP,1012,e7,?,
1769776661.5744226,SENT,ff595d24-ddc7-48a0-b3a3-cb67bd047dc4,d22bfa5c-2aac-4acc-9769-460e86a87f48,c5,DROP,685,?,x3,
1769776661.574464,FORWARDED,ff595d24-ddc7-48a0-b3a3-cb67bd047dc4,d22bfa5c-2aac-4acc-9769-460e86a87f48,c5,DROP,685,?,x3,
1769776661.7283154,RECEIVED,fa1e5775-0bf3-43c8-873a-9bbab9cd4242,05724b91-4eb1-4b50-b9af-abdcda5b59d8,c2,c3,1784,e4,?,
1769776661.7544637,SENT,be5c2d16-c3a5-4cb5-ba6c-1ed92ed29bf1,21cda68d-5a14-4c41-b0c2-0fc8c1f52808,c2,DROP,684,?,x6,
1769776661.7545044,FORWARDED,be5c2d16-c3a5-4cb5-ba6c-1ed92ed29bf1,21cda68d-5a14-4c41-b0c2-0fc8c1f52808,c2,DROP,684,?,x6,
1769776661.7587514,RECEIVED,69a4cf86-531c-4533-b318-99f5716c0e5f,b3a832a3-8ad4-4cfc-ab9d-fdbf129a4eb9,c4,c2,1767,e6,?,
1769776662.041698,RECEIVED,1864e040-22e2-4469-8455-db11cce8a336,4c0f46e4-00dc-40f8-a5dc-a1f8b0d5e1e6,c2,DROP,1008,e4,?,
1769776662.1143785,RECEIVED,1e8d9a41-728e-472b-b49f-86163e2a964c,91f39f02-d0b8-4f5c-bcb5-61ed4502411f,c3,DROP,1015,e3,?,
1769776662.1604085,SENT,1864e040-22e2-4469-8455-db11cce8a336,4c0f46e4-00dc-40f8-a5dc-a1f8b0d5e1e6,c2,DROP,684,?,x8,
1769776662.16045,FORWARDED,1864e040-22e2-4469-8455-db11cce8a336,4c0f46e4-00dc-40f8-a5dc-a1f8b0d5e1e6,c2,DROP,684,?,x8,
1769776662.282513,SENT,69a4cf86-531c-4533-b318-99f5716c0e5f,b3a832a3-8ad4-4cfc-ab9d-fdbf129a4eb9,c4,c2,1252,?,x7,
