timestamp,event_type,packet_id,src,dst,size,prev_hop,next_hop,flags
1768398310.4656532,SENT,dd3a0cde-66da-4d63-988f-69838cb9b1c6,c5,c4,2555,?,?,
1768398310.4658618,CREATED,36bf5dee-62dc-4c4d-8fe2-4a28e1a2d4cf,c5,c4,29,?,?,
1768398310.6613019,SENT,23a8813a-8d7a-409f-8114-048b91a6bf24,c5,c1,2543,?,?,
1768398310.6614919,CREATED,98a6a562-0989-4e6e-b1ac-ea76016556eb,c5,c1,29,?,?,
1768398310.8561862,SENT,0c1c1a8d-7f73-427b-a4a0-a0ad5adc949a,c5,c1,2551,?,?,
1768398310.8563876,CREATED,15591ba0-4934-4be7-afc3-a5920f55e80d,c5,c1,29,?,?,
1768398311.2597039,SENT,f98a8a43-8cdf-4d70-bfba-9b0bde0ca1ef,c5,c4,2548,?,?,
1768398311.259936,CREATED,dd188986-1b91-4b6d-8c6a-17f0ccda3e07,c5,c4,29,?,?,
1768398311.8575587,SENT,5accec40-be3d-4de1-858e-ee790e8501fd,c5,c3,2551,?,?,
1768398311.8577685,CREATED,ccc486bf-2eb9-4f4e-92de-ff6914f70b5e,c5,c3,29,?,?,
1768398312.262789,SENT,178d40d6-02c9-459d-b550-c3cf84fd3068,c5,c3,2555,?,?,
1768398312.2629855,CREATED,446d5e34-d069-46a6-8e2b-79c623d24eb6,c5,c3,30,?,?,
1768398312.6296453,SENT,63729445-4007-4cee-a8ae-2f3804c35a2b,c5,DROP,1820,?,?,
1768398312.6298501,CREATED,911da8f5-ecdd-4a71-bffb-24353e3320ab,c5,DROP,27,?,?,
1768398312.6592624,SENT,395724f0-848d-4ee8-88db-a74d649db26c,c5,c4,2560,?,?,
1768398312.6594625,CREATED,c6ebadf0-a60e-4873-8dce-1bd96e69f994,c5,c4,30,?,?,
1768398313.4647682,SENT,a96734ca-bc60-4d1e-8345-eba87722bb33,c5,c1,2548,?,?,
1768398313.464976,CREATED,88b34f47-7d16-4503-b51d-bcccee8af342,c5,c1,30,?,?,
1768398313.6651914,SENT,c8af26e8-e648-4169-81c2-e045c901f066,c5,c4,2562,?,?,
1768398313.6653917,CREATED,e43f31e9-503f-4dba-93b2-9ff58835f974,c5,c4,30,?,?,
1768398314.057748,SENT,46479b6c-8efa-4d0f-b8d7-cd145d3de1cc,c5,c3,2556,?,?,
1768398314.057957,CREATED,d749b07e-7885-4fcd-b324-1a81fd4f247e,c5,c3,30,?,?,
1768398314.71451,SENT,4e754127-dc37-42ed-8b58-f482d53f7b98,c5,DROP,1825,?,?,
1768398314.7147176,CREATED,510ea942-90a5-4c5d-ab6f-9c6bafbc2028,c5,DROP,27,?,?,
1768398315.0647051,SENT,0aad2cfa-b2dc-44ad-ade8-416304bff8b5,c5,c4,2559,?,?,
1768398315.064913,CREATED,ea29c1b5-af0b-4d38-b557-b41d6f407d84,c5,c4,30,?,?,
1768398315.252505,SENT,2f49efd9-1bf6-4a26-90af-8e4bde120868,c5,c1,2571,?,?,
1768398315.2525756,CREATED,7038d91e-e893-48de-ab46-c34ae7a7a384,c5,c1,30,?,?,
1768398315.3444626,SENT,138f6251-a6c8-41ad-9c0e-256b1197e667,c5,DROP,1841,?,?,
1768398315.3446693,CREATED,cda387c9-27ef-4bbb-b390-e55e53d04d47,c5,DROP,27,?,?,
1768398315.4622836,SENT,781013e5-eaee-4691-b0b7-a2490e63ee46,c5,c4,2579,?,?,
1768398315.4624825,CREATED,1ac26905-0f7d-40fd-a489-d549ae7feed5,c5,c4,30,?,?,
1768398315.658512,SENT,744d4a24-2581-460a-ad1f-21d069af0d65,c5,c3,2551,?,?,
1768398315.658713,CREATED,405016f7-0c5e-41ad-844b-8d2042e3c2ee,c5,c3,30,?,?,
1768398315.8481593,SENT,8f3d1b71-3b90-443e-aa6d-520e6119424d,c5,DROP,1819,?,?,
1768398315.8483405,CREATED,0b01f486-a8d4-4952-85fb-0a52268dd6d6,c5,DROP,27,?,?,
1768398315.8641016,SENT,0f2ca743-d184-43dc-b62c-04f5e99034d8,c5,c4,2559,?,?,
1768398315.8643048,CREATED,956570e5-ad2d-400b-9e6d-2c74efbb9c13,c5,c4,30,?,?,
1768398316.257709,SENT,547a8b18-0f66-451a-8464-c70fd48f2f5b,c5,c1,2571,?,?,
1768398316.2579122,CREATED,b88fc444-a3ac-4a49-93fd-461babf47e81,c5,c1,30,?,?,
