timestamp,event_type,packet_id,src,dst,size,flags
1765548026.3848493,RECEIVED,f02a14da-d7ee-4613-9299-f84a0694d387,?,?,2941,
1765548026.4689744,RECEIVED,204e55c4-88ef-45b0-84fc-39764c1c5e62,?,?,2941,
1765548026.4842436,RECEIVED,5abd88d0-fa0f-4718-8d11-e6a9c7965f80,?,?,2941,
1765548028.360649,SENT,5abd88d0-fa0f-4718-8d11-e6a9c7965f80,?,?,1013,
1765548028.3693426,SENT,204e55c4-88ef-45b0-84fc-39764c1c5e62,?,?,1013,
1765548028.383935,SENT,f02a14da-d7ee-4613-9299-f84a0694d387,?,?,1013,
1765548028.4902859,RECEIVED,d64944eb-5843-48a8-b26d-cebe77f9e67e,?,?,2941,
1765548028.4951463,RECEIVED,f83cb200-7df2-447a-8c71-90a17acc66b8,?,?,2941,
1765548030.392908,SENT,d64944eb-5843-48a8-b26d-cebe77f9e67e,?,?,1013,
1765548030.3984118,SENT,f83cb200-7df2-447a-8c71-90a17acc66b8,?,?,1013,
1765548030.4126294,RECEIVED,b0d38bf4-b6fa-4107-9f27-f8040cabd84a,?,?,2941,
1765548030.4298742,RECEIVED,da9a44e8-adf1-4149-99a5-df2a5d2170b5,?,?,44,type=ACK;ack_id=354feed5-e3f7-43a2-9049-4301c89dc168
1765548030.489596,RECEIVED,c1fe6205-8fb6-4940-9079-e86e8d14219f,?,?,2941,
1765548032.408174,SENT,c1fe6205-8fb6-4940-9079-e86e8d14219f,?,?,1013,
1765548032.421643,SENT,da9a44e8-adf1-4149-99a5-df2a5d2170b5,?,?,44,type=ACK;ack_id=354feed5-e3f7-43a2-9049-4301c89dc168
1765548032.4272764,SENT,b0d38bf4-b6fa-4107-9f27-f8040cabd84a,?,?,1013,
1765548032.5208118,RECEIVED,596d7fc8-3a54-485a-8a23-bbc75dd96652,?,?,44,type=ACK;ack_id=4097d4f0-c265-41a7-b2e8-c8fde5fd94a7
1765548032.5227878,RECEIVED,1d48623d-74b8-4e5f-bd97-f3d8379cd5f9,?,?,2941,
1765548034.4446821,SENT,596d7fc8-3a54-485a-8a23-bbc75dd96652,?,?,44,type=ACK;ack_id=4097d4f0-c265-41a7-b2e8-c8fde5fd94a7
1765548034.4538755,SENT,1d48623d-74b8-4e5f-bd97-f3d8379cd5f9,?,?,1013,
1765548034.562576,RECEIVED,23276b17-3d24-4968-8a04-de1635523df4,?,?,44,type=ACK;ack_id=fd266770-16a5-41e0-bcc7-77bc3592754b
1765548034.5685468,RECEIVED,d187378d-86e8-4c01-88d3-97ecb5d89d3d,?,?,44,type=ACK;ack_id=93a150a7-3536-4dfa-8f26-e589901d3ddd
1765548034.5692902,RECEIVED,d83626e3-e1c8-44e6-9336-427c1c81b736,?,?,44,type=ACK;ack_id=1ef7ba3e-0396-4412-a932-e607e275f5bf
1765548034.5758479,RECEIVED,58b29fb6-9aef-45e2-9599-8f1a0076ade6,?,?,2941,
1765548036.46375,SENT,d83626e3-e1c8-44e6-9336-427c1c81b736,?,?,44,type=ACK;ack_id=1ef7ba3e-0396-4412-a932-e607e275f5bf
1765548036.4704368,SENT,d187378d-86e8-4c01-88d3-97ecb5d89d3d,?,?,44,type=ACK;ack_id=93a150a7-3536-4dfa-8f26-e589901d3ddd
1765548036.4765284,SENT,23276b17-3d24-4968-8a04-de1635523df4,?,?,44,type=ACK;ack_id=fd266770-16a5-41e0-bcc7-77bc3592754b
1765548036.4839911,SENT,58b29fb6-9aef-45e2-9599-8f1a0076ade6,?,?,1013,
1765548036.5855865,RECEIVED,b5c26cf4-3084-40e6-b038-b217571858c6,?,?,2941,
1765548036.5941744,RECEIVED,5a2e712c-40d2-4977-9432-7b1f9bb3b6f0,?,?,2941,
1765548038.0288184,RECEIVED,813f1c1a-5c0e-444f-96a3-da9225111233,?,?,2941,
1765548038.0322688,RECEIVED,65fc59a8-d172-41cc-b857-1aa49fdf9c70,?,?,2941,
1765548038.4921446,SENT,b5c26cf4-3084-40e6-b038-b217571858c6,?,?,1013,
1765548038.5021222,SENT,813f1c1a-5c0e-444f-96a3-da9225111233,?,?,1013,
1765548038.5102174,SENT,5a2e712c-40d2-4977-9432-7b1f9bb3b6f0,?,?,1013,
1765548038.516511,SENT,65fc59a8-d172-41cc-b857-1aa49fdf9c70,?,?,1013,
1765548038.5637965,RECEIVED,6d0522be-e213-49e3-a8c4-1d72038e9575,?,?,2941,
1765548038.6101768,RECEIVED,f84ca368-5108-4999-8128-3764d2694ac9,?,?,2941,
1765548038.621344,RECEIVED,aa2790a5-2e05-4c52-b87e-a1b3a28f2d81,?,?,2941,
1765548038.656552,RECEIVED,5b83d527-70de-43a4-b69d-68bcf911d4a5,?,?,2941,
1765548040.522089,SENT,f84ca368-5108-4999-8128-3764d2694ac9,?,?,1013,
1765548040.529896,SENT,aa2790a5-2e05-4c52-b87e-a1b3a28f2d81,?,?,1013,
1765548040.535352,SENT,6d0522be-e213-49e3-a8c4-1d72038e9575,?,?,1013,
1765548040.5411508,SENT,5b83d527-70de-43a4-b69d-68bcf911d4a5,?,?,1013,
1765548040.5726464,RECEIVED,e11c11a2-2f2c-4e33-8c3b-729d1fb71590,?,?,44,type=ACK;ack_id=e2e505eb-23bb-4839-a42d-b8c39fba1b3c
1765548040.6514082,RECEIVED,15c28a30-543e-4399-bb94-de4ff26678b8,?,?,2941,
1765548040.652306,RECEIVED,729fcad6-1226-4efc-b377-9fc76df7d98e,?,?,44,type=ACK;ack_id=c94c0e69-8faf-4f58-8eb5-cbd36da868b2
1765548040.6582532,RECEIVED,2a8db943-37d1-48e3-a007-c5d58d07d08f,?,?,2941,
1765548040.6970248,RECEIVED,0c67e8a7-7276-4d4d-806d-0db66f18c744,?,?,44,type=ACK;ack_id=0a669000-3e76-4195-b3bb-c0e65892772c
1765548042.5460408,SENT,e11c11a2-2f2c-4e33-8c3b-729d1fb71590,?,?,44,type=ACK;ack_id=e2e505eb-23bb-4839-a42d-b8c39fba1b3c
1765548042.5550349,SENT,0c67e8a7-7276-4d4d-806d-0db66f18c744,?,?,44,type=ACK;ack_id=0a669000-3e76-4195-b3bb-c0e65892772c
1765548042.5604472,SENT,2a8db943-37d1-48e3-a007-c5d58d07d08f,?,?,1013,
1765548042.5686297,SENT,729fcad6-1226-4efc-b377-9fc76df7d98e,?,?,44,type=ACK;ack_id=c94c0e69-8faf-4f58-8eb5-cbd36da868b2
1765548042.5786047,SENT,15c28a30-543e-4399-bb94-de4ff26678b8,?,?,1013,
1765548042.697198,RECEIVED,13c118d8-b2d4-47b7-84e9-885fe3bb81cc,?,?,2941,
1765548042.7165775,RECEIVED,09f5260f-1422-4fdc-a2a0-5f9764865364,?,?,2941,
1765548044.5854435,SENT,13c118d8-b2d4-47b7-84e9-885fe3bb81cc,?,?,1013,
1765548044.598148,SENT,09f5260f-1422-4fdc-a2a0-5f9764865364,?,?,1013,
1765548044.7064366,RECEIVED,00e8a2f4-7e1b-4694-a265-5538022dd126,?,?,2941,
1765548044.7160344,RECEIVED,ad6331f4-ec34-44b4-bd11-b24fb1951b77,?,?,2941,
1765548044.7495341,RECEIVED,73685b94-42d0-4b6c-b702-97aee5d2a1b9,?,?,2941,
1765548044.7549384,RECEIVED,ad514d22-3611-45cf-a9e6-3022a2749929,?,?,2941,
1765548046.6028285,SENT,ad514d22-3611-45cf-a9e6-3022a2749929,?,?,1013,
1765548046.613868,SENT,00e8a2f4-7e1b-4694-a265-5538022dd126,?,?,1013,
1765548046.6301699,SENT,ad6331f4-ec34-44b4-bd11-b24fb1951b77,?,?,1013,
1765548046.6420023,SENT,73685b94-42d0-4b6c-b702-97aee5d2a1b9,?,?,1013,
1765548046.6661117,RECEIVED,0a14d358-d473-4b04-b8ae-b475347a6d59,?,?,44,type=ACK;ack_id=f7dd314a-5909-4fb6-aba5-8cdb74cb1d4b
1765548046.6684532,RECEIVED,2cafdffc-0502-443d-9075-266ca80e8354,?,?,44,type=ACK;ack_id=b304e804-6215-4f04-b626-34502324f434
1765548046.709027,RECEIVED,d68800ae-4102-4678-80b8-f007cc37dd1d,?,?,2941,
1765548046.7297285,RECEIVED,cbc3b403-7ed8-4040-a840-ca755e5a452a,?,?,44,type=ACK;ack_id=f6d68710-ca9f-48cd-8cec-9bbc44dae3c8
1765548046.7375524,RECEIVED,f14d65d5-ead4-4958-be7b-b6b8f3905b53,?,?,44,type=ACK;ack_id=2600476c-5efc-4002-b3fb-c5426b9f05aa
1765548046.7395613,RECEIVED,9de63cc8-043b-4a28-b881-6d7a4b1a2edd,?,?,44,type=ACK;ack_id=4cb0cc03-f6cf-4b5f-aabc-b317aa7aa64a
1765548046.7667823,RECEIVED,96a91efe-f066-4656-856a-c6bad6dae70c,?,?,44,type=ACK;ack_id=770f97a9-2140-4498-a102-791f23114534
1765548048.648201,SENT,2cafdffc-0502-443d-9075-266ca80e8354,?,?,44,type=ACK;ack_id=b304e804-6215-4f04-b626-34502324f434
1765548048.6562943,SENT,cbc3b403-7ed8-4040-a840-ca755e5a452a,?,?,44,type=ACK;ack_id=f6d68710-ca9f-48cd-8cec-9bbc44dae3c8
1765548048.6705813,SENT,f14d65d5-ead4-4958-be7b-b6b8f3905b53,?,?,44,type=ACK;ack_id=2600476c-5efc-4002-b3fb-c5426b9f05aa
1765548048.6912327,SENT,0a14d358-d473-4b04-b8ae-b475347a6d59,?,?,44,type=ACK;ack_id=f7dd314a-5909-4fb6-aba5-8cdb74cb1d4b
1765548048.7114131,SENT,96a91efe-f066-4656-856a-c6bad6dae70c,?,?,44,type=ACK;ack_id=770f97a9-2140-4498-a102-791f23114534
1765548048.7234466,SENT,9de63cc8-043b-4a28-b881-6d7a4b1a2edd,?,?,44,type=ACK;ack_id=4cb0cc03-f6cf-4b5f-aabc-b317aa7aa64a
1765548048.7312992,SENT,d68800ae-4102-4678-80b8-f007cc37dd1d,?,?,1013,
1765548048.7419763,RECEIVED,bb478923-7961-4589-96a6-764a8a72c10a,?,?,44,type=ACK;ack_id=d2edb394-9d9a-42ac-9a9e-b613b15d0f1d
1765548050.733773,SENT,bb478923-7961-4589-96a6-764a8a72c10a,?,?,44,type=ACK;ack_id=d2edb394-9d9a-42ac-9a9e-b613b15d0f1d
1765548050.789835,RECEIVED,976d8d12-57df-4638-b6b8-a8e31f33f60c,?,?,44,type=ACK;ack_id=9c89e497-c0d1-40b9-8c88-5cf000c24e91
1765548050.819328,RECEIVED,45fef9fa-5f98-4b41-8cd4-a53f62115f87,?,?,2941,
1765548052.7500222,SENT,45fef9fa-5f98-4b41-8cd4-a53f62115f87,?,?,1013,
1765548052.7698412,SENT,976d8d12-57df-4638-b6b8-a8e31f33f60c,?,?,44,type=ACK;ack_id=9c89e497-c0d1-40b9-8c88-5cf000c24e91
1765548052.809079,RECEIVED,c4e564d1-40cd-42a2-b35f-64a5dabeafc0,?,?,2941,
1765548052.8274066,RECEIVED,093e3735-4ffb-433d-bf0a-0e376a7f3eca,?,?,44,type=ACK;ack_id=3b4c9e34-d4c5-4a7c-bc34-d0794c732d3f
1765548052.8362794,RECEIVED,11fbe81f-7a66-4b21-8d79-b3dc3061be4f,?,?,2941,
1765548054.7735655,SENT,093e3735-4ffb-433d-bf0a-0e376a7f3eca,?,?,44,type=ACK;ack_id=3b4c9e34-d4c5-4a7c-bc34-d0794c732d3f
1765548054.779546,SENT,11fbe81f-7a66-4b21-8d79-b3dc3061be4f,?,?,1013,
1765548054.786826,SENT,c4e564d1-40cd-42a2-b35f-64a5dabeafc0,?,?,1013,
1765548054.8224113,RECEIVED,91c5d62b-3a2d-4399-8b5b-503387a10152,?,?,44,type=ACK;ack_id=05fca453-2ec2-4013-ab90-a23830b134d1
1765548056.7904484,SENT,91c5d62b-3a2d-4399-8b5b-503387a10152,?,?,44,type=ACK;ack_id=05fca453-2ec2-4013-ab90-a23830b134d1
1765548056.8924696,RECEIVED,8703c5a9-1e03-49e4-a9b2-6dc4f73496a0,?,?,2941,
1765548058.796277,SENT,8703c5a9-1e03-49e4-a9b2-6dc4f73496a0,?,?,1013,
1765548058.9101288,RECEIVED,24f7b514-fad1-4c7a-ae01-48fab9be3f13,?,?,44,type=ACK;ack_id=340cca67-9657-45ae-a145-194fb2c415ef
1765548060.801812,SENT,24f7b514-fad1-4c7a-ae01-48fab9be3f13,?,?,44,type=ACK;ack_id=340cca67-9657-45ae-a145-194fb2c415ef
